year,month,day,site,trap,Line,quantity,name,DatasheetNotes,class,order,family,genspp,numbercode,lettercode
2025,5,14,SWFL,4,B,1,Tachyporus sp.,,1,2,17,7,1021707,COSTATAC
2025,5,30,RAV,5,D,10,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,5,D,1,Embaphion contusum,,1,2,46,51,1024651,TEEMBCON
2025,5,30,RAV,5,D,2,Allocosa sp.,,5,1,24,3,5012403,ARLYCALL
2025,5,30,RAV,5,D,1,Blapstinus fortis,,1,2,46,48,1024648,TEBLAFOR
2025,5,30,RAV,5,D,1,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,30,RAV,5,D,3,Collembola,,1,4,0,0,1040000,INCL
2025,5,30,RAV,5,D,16,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,30,RAV,5,D,1,Linyphiidae,erigone type male,5,1,22,0,5012200,ARARALIN
2025,5,14,SWFL,5,D,3,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,5,D,10,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,5,D,4,Tapinoma sessile,,1,11,13,18,1111318,FOTAPSES
2025,5,14,SWFL,5,D,2,Acari,,5,2,0,0,5020000,ARACA
2025,5,30,RAV,6,D,14,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,6,D,5,Allocosa sp.,,5,1,24,3,5012403,ARLYCALL
2025,5,30,RAV,6,D,1,Pardosa sp.,P. atlantica,5,1,24,4,5012404,ARLYCPAR
2025,5,30,RAV,6,D,52,Dorymyrmex insanus,,1,11,13,54,1111354,DORINS
2025,5,30,RAV,6,D,2,Staphylinidae,,1,2,17,0,1021700,INCOSTA
2025,5,30,RAV,6,D,23,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,30,RAV,6,D,1,Collembola,,1,4,0,0,1040000,INCL
2025,5,30,RAV,6,D,1,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,14,SWFL,6,D,10,Armadillidium vulgare,rodent scat in trap,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,6,D,3,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,6,D,1,Tapinoma sessile,,1,11,13,18,1111318,FOTAPSES
2025,5,30,RAV,7,D,5,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,7,D,4,Allocosa sp.,,5,1,24,3,5012403,ARLYCALL
2025,5,30,RAV,7,D,4,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,30,RAV,7,D,3,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,30,RAV,7,D,1,Curculionidae,,1,2,31,0,1023100,INCOCUR
2025,5,14,SWFL,7,D,2,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,7,D,6,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,7,D,1,Corylophidae,Sericoderus lateralis,1,2,47,0,1024700,INCOCOR
2025,5,14,SWFL,7,D,2,Staphylinidae,(c),1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,7,D,1,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,14,SWFL,7,D,1,Acari,,5,2,0,0,5020000,ARACA
2025,5,14,SWFL,7,D,1,Collembola,,1,4,0,0,1040000,INCL
2025,5,30,RAV,8,D,41,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,8,D,47,Dorymyrmex insanus,,1,11,13,54,1111354,DORINS
2025,5,30,RAV,8,D,4,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,8,D,4,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,30,RAV,8,D,1,Polydesmida,,7,1,0,0,7010000,DIPOD
2025,5,30,RAV,8,D,1,Theridiidae,tiny red female,5,1,15,0,5011500,ARARATHE
2025,5,30,RAV,8,D,1,Allocosa sp.,,5,1,24,3,5012403,ARLYCALL
2025,5,30,RAV,8,D,1,Solenopsis sp.,,1,11,13,5,1111305,FOSOL
2025,5,14,SWFL,8,D,18,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,8,D,2,Lithobiomorpha,,2,2,0,0,2020000,CHLIT
2025,5,14,SWFL,8,D,1,Anthicidae,(Ischyropalpus vs Vacusus),1,2,41,0,1024100,INCOANT
2025,5,14,SWFL,8,D,3,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,8,D,3,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,8,D,1,Drassyllus sp.,imm,5,1,16,37,5011637,ARGNADRA
2025,5,30,RAV,9,F,17,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,9,F,2,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,9,F,2,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,9,F,2,Acari,,5,2,0,0,5020000,ARACA
2025,5,30,RAV,9,F,1,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,30,RAV,9,F,2,Zelotes sp.,1 male 1 female,5,1,16,4,5011604,ARGNAZEL
2025,5,14,SWFL,9,F,31,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,9,F,14,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,9,F,3,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,9,F,1,Staphylinidae,(d),1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,9,F,1,Drassyllus sp.,D. mexicanus? (male),5,1,16,37,5011637,ARGNADRA
2025,5,14,SWFL,9,F,1,Drassyllus sp.,imm male,5,1,16,37,5011637,ARGNADRA
2025,5,14,SWFL,9,F,1,Staphylinidae,(d),1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,9,F,1,Pardosa sp.,P. atlantica (male),5,1,24,4,5012404,ARLYCPAR
2025,5,14,SWFL,9,F,2,Staphylinidae,(c),1,2,17,0,1021700,INCOSTA
2025,5,30,RAV,10,F,44,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,10,F,22,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,10,F,1,Carabidae,Small,1,2,55,0,1025500,INCOCAR
2025,5,14,SWFL,10,F,11,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,10,F,1,Staphylinidae,(a),1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,10,F,1,Poecilus lucublandus,,1,2,55,39,1025539,CAPOELUC
2025,5,14,SWFL,10,F,2,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,10,F,1,Staphylinidae,(d),1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,10,F,3,Collembola,,1,4,0,0,1040000,INCL
2025,5,30,RAV,11,F,29,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,11,F,9,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,11,F,2,Polydesmida,,7,1,0,0,7010000,DIPOD
2025,5,30,RAV,11,F,1,Zelotes sp.,,5,1,16,4,5011604,ARGNAZEL
2025,5,30,RAV,11,F,16,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,11,F,1,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,30,RAV,11,F,1,Aeolus sp.,A. livins?,1,2,5,6,1020506,ELAAEO
2025,5,30,RAV,11,F,1,Xysticus sp.,,5,1,45,2,5014502,ARTHOXYS
2025,5,14,SWFL,11,F,8,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,11,F,1,Linyphiidae,male,5,1,22,0,5012200,ARARALIN
2025,5,14,SWFL,11,F,1,Zelotes lasalanus,male,5,1,16,9,5011609,GNZELLAS
2025,5,14,SWFL,11,F,1,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,11,F,1,Psocoptera,,1,22,0,0,1220000,INPS
2025,5,14,SWFL,11,F,1,Cryptophagus sp.,,1,2,8,1,1020801,COCRYCRY
2025,5,14,SWFL,11,F,1,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,11,F,2,Staphylinidae,(c),1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,11,F,1,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,14,SWFL,11,F,1,Acari,,5,2,0,0,5020000,ARACA
2025,5,30,RAV,12,F,10,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,12,F,9,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,12,F,2,Eleodes suturalis,,1,2,46,7,1024607,TEELESUT
2025,5,30,RAV,12,F,1,Lepidoptera larva,noctuiidae,1,9,0,1,1090001,LELEPLAR
2025,5,30,RAV,12,F,2,Blapstinus fortis,,1,2,46,48,1024648,TEBLAFOR
2025,5,30,RAV,12,F,1,Chrysomela scripta,,1,2,9,4,1020904,CHCHRSCR
2025,5,30,RAV,12,F,1,Curculionidae,,1,2,31,0,1023100,INCOCUR
2025,5,30,RAV,12,F,34,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,12,F,17,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,30,RAV,12,F,5,Solenopsis sp.,,1,11,13,5,1111305,FOSOL
2025,5,30,RAV,12,F,1,Ponera sp.,P. pennsylvanica,1,11,13,55,1111355,INHYFOPO
2025,5,30,RAV,12,F,2,Dorymyrmex insanus,,1,11,13,54,1111354,DORINS
2025,5,30,RAV,12,F,1,Acari,,5,2,0,0,5020000,ARACA
2025,5,30,RAV,12,F,1,Dysdera crocata,,5,1,14,2,5011402,ARDYSCRO
2025,5,14,SWFL,12,F,8,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,12,F,1,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,14,SWFL,12,F,1,Poecilus lucublandus,,1,2,55,39,1025539,CAPOELUC
2025,5,14,SWFL,12,F,1,Aeolus sp.,A. livens,1,2,5,6,1020506,ELAAEO
2025,5,14,SWFL,12,F,1,Herpyllus sp.,Nr. H. frio (male),5,1,16,12,5011612,ARGNAHER
2025,5,14,SWFL,12,F,9,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,12,F,6,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,12,F,1,Staphylinidae,(c),1,2,17,0,1021700,INCOSTA
2025,5,14,SWFL,12,F,1,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,14,SWFL,12,F,1,Lithobiomorpha,,2,2,0,0,2020000,CHLIT
2025,5,30,RAV,13,H,86,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,13,H,2,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,13,H,3,Lepismatidae,,1,42,2,0,1420200,INZYLEP
2025,5,30,RAV,13,H,19,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,13,H,1,Crematogaster cerasi,,1,11,13,16,1111316,FOCRECER
2025,5,30,RAV,13,H,1,Xysticus sp.,Female,5,1,45,2,5014502,ARTHOXYS
2025,5,30,RAV,13,H,1,Blapstinus fortis,,1,2,46,48,1024648,TEBLAFOR
2025,5,14,SWFL,13,H,8,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,13,H,1,Blapstinus fortis,,1,2,46,48,1024648,TEBLAFOR
2025,5,14,SWFL,13,H,1,Agelenopsis sp.,imm,5,1,1,1,5010101,ARAAGEAGE
2025,5,14,SWFL,13,H,7,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,13,H,6,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,14,SWFL,13,H,1,Insecta larva,,1,0,0,1,1000001,INLA
2025,5,30,RAV,14,H,27,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,14,H,2,Staphylinidae,Scydmaeninae,1,2,17,0,1021700,INCOSTA
2025,5,30,RAV,14,H,8,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,14,H,4,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,14,SWFL,14,H,5,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,14,H,1,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,14,SWFL,14,H,1,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,14,SWFL,14,H,11,Oribatida,,5,2,1,0,5020100,ARACAORI
2025,5,14,SWFL,14,H,2,Collembola,,1,4,0,0,1040000,INCL
2025,5,30,RAV,15,H,43,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,15,H,1,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,15,H,1,Eleodes suturalis,,1,2,46,7,1024607,TEELESUT
2025,5,30,RAV,15,H,8,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,14,SWFL,15,H,11,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,15,H,1,Zelotes lasalanus,female,5,1,16,9,5011609,GNZELLAS
2025,5,14,SWFL,15,H,1,Xysticus sp.,X. ferox (male),5,1,45,2,5014502,ARTHOXYS
2025,5,14,SWFL,15,H,1,Allocosa sp.,A. chamberlini (male),5,1,24,3,5012403,ARLYCALL
2025,5,14,SWFL,15,H,1,Tachyporus sp.,(b),1,2,17,7,1021707,COSTATAC
2025,5,30,RAV,16,H,8,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,16,H,3,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,16,H,2,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,30,RAV,16,H,1,Tachyporus sp.,,1,2,17,7,1021707,COSTATAC
2025,5,30,RAV,16,H,1,Acari,,5,2,0,0,5020000,ARACA
2025,5,14,SWFL,16,H,3,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,16,H,1,Chrysomela scripta,,1,2,9,4,1020904,CHCHRSCR
2025,5,14,SWFL,16,H,1,Lepismatidae,,1,42,2,0,1420200,INZYLEP
2025,5,14,SWFL,16,H,1,Drassyllus sp.,female,5,1,16,37,5011637,ARGNADRA
2025,5,14,SWFL,16,H,1,Crematogaster cerasi,,1,11,13,16,1111316,FOCRECER
2025,5,14,SWFL,16,H,1,Diptera,tiny,1,6,0,0,1060000,INDI
2025,5,14,SWFL,16,H,4,Collembola,,1,4,0,0,1040000,INCL
2025,5,14,SWFL,16,H,1,Tachyporus sp.,(b),1,2,17,7,1021707,COSTATAC
2025,5,30,RAV,17,J,19,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,17,J,14,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,17,J,1,Hemiptera,Juv,1,75,0,0,1750000,INHE
2025,5,30,RAV,17,J,3,Tachyporus sp.,,1,2,17,7,1021707,COSTATAC
2025,5,30,RAV,17,J,1,Lepismatidae,,1,42,2,0,1420200,INZYLEP
2025,5,30,RAV,17,J,1,Lithobiomorpha,,2,2,0,0,2020000,CHLIT
2025,5,30,RAV,17,J,7,Collembola,,1,4,0,0,1040000,INCL
2025,5,30,RAV,17,J,1,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,14,SWFL,17,J,8,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,17,J,2,Chrysomelidae,Paria sp.,1,2,9,0,1020900,INCOCHR
2025,5,14,SWFL,17,J,2,Tapinoma sessile,,1,11,13,18,1111318,FOTAPSES
2025,5,14,SWFL,17,J,1,Acari,,5,2,0,0,5020000,ARACA
2025,5,14,SWFL,17,J,1,Bembidion sp.,,1,2,55,23,1025523,CABEM
2025,5,14,SWFL,17,J,1,Collembola,,1,4,0,0,1040000,INCL
2025,5,30,RAV,18,J,74,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,18,J,6,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,18,J,9,Pardosa sp.,P. atlantica (7 male 2 female),5,1,24,4,5012404,ARLYCPAR
2025,5,30,RAV,18,J,1,Dictynidae,? male tiny,5,1,25,0,5012500,ARARADIC
2025,5,14,SWFL,18,J,2,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,18,J,1,Varacosa sp.,V. glosiuta (female),5,1,24,25,5012425,ARLYCVAR
2025,5,14,SWFL,18,J,1,Pseudoscorpiones,,5,3,0,0,5030000,ARPSE
2025,5,14,SWFL,18,J,1,Dictyna sp.,imm,5,1,25,3,5012503,ARDICDIC
2025,5,30,RAV,19,J,188,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,19,J,1,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,30,RAV,19,J,27,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,19,J,1,Blapstinus fortis,,1,2,46,48,1024648,TEBLAFOR
2025,5,30,RAV,19,J,1,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,14,SWFL,19,J,1,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,14,SWFL,19,J,3,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,19,J,7,Chrysomela scripta,larvae,1,2,9,4,1020904,CHCHRSCR
2025,5,14,SWFL,19,J,1,Crematogaster cerasi,,1,11,13,16,1111316,FOCRECER
2025,5,14,SWFL,19,J,5,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,20,J,234,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,30,RAV,20,J,13,Tetramorium sp.,,1,11,13,51,1111351,FOTET
2025,5,30,RAV,20,J,1,Monomorium minimum,,1,11,13,17,1111317,FOMONMIN
2025,5,14,SWFL,20,J,6,Armadillidium vulgare,,6,2,2,2,6020202,ARMVUL
2025,5,14,SWFL,20,J,1,Porcellio laevis,,6,2,1,1,6020101,PORLAE
2025,5,14,SWFL,20,J,1,Dysdera crocata,female,5,1,14,2,5011402,ARDYSCRO
2025,5,14,SWFL,20,J,2,Tetramorium sp.,,1,11,13,51,1111351,FOTET
