Site number,Year,Annual mean counts,Species Richness,Site name,Latitude,Longitude,Date type,Reaches,Current usgs gauge,Nearest USGS gauge,PODEW,TACH2,Annual mean depth to groundwater cm,Annual sum of precipitation mm,Exotic,Native,Ratio
2,2002,114,35,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,194.68,1.58,-196.4,163.25,21.340000000000003,247.02,11.58
2,2003,253,34,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,188.7,1.16,-205.2,78.39999999999999,20.15,230.19,11.42
2,2004,246,43,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,165.09,.,-203.7,239.5,39.86,236.98,5.95
2,2005,458,44,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,165.89,.,-203.7,202.3,61.76,234.14,3.79
2,2006,233,37,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,161.29,.,-202,210.15,13.51,343.96000000000004,25.46
2,2007,397,40,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,147.74,.,-201.8,171.54999999999998,32.85,188.00000000000003,5.72
2,2008,188,40,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,142.39,.,-197.8,154.5,10.69,184.20999999999998,17.23
2,2009,148,35,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,153.64,.,-196.7,115,2.8899999999999997,222.07,76.84
2,2010,167,32,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,152.47,.,-191.9,184,15.84,194.76999999999998,12.3
2,2011,238,43,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,135.07,.,-199.2,136.15,11.9,174.06,14.63
2,2012,294,49,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,168.76,.,-202,83.5,1.57,196.6,125.22
2,2013,280,50,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,170.52,.,-201.8,160.10000000000002,1.38,183.44,132.93
2,2014,158,49,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,153.25,.,-195.7,133.55,15.09999999999998,198.30999999999995,13.13
2,2015,215,48,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,137.53,.,-184.5,287.65,46.68,226,4.84
2,2016,348,47,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,142.17,.,-183.4,134.4,10.94999999999999,203.49999999999997,18.58
2,2017,201,22,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,103.39,.,-174.8,178.14999999999998,7.35,166.56,22.66
2,2018,244,54,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,104.5,.,-187.7,152.88500000000002,9.95,187.06000000000003,18.8
2,2019,171,40,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,67.94,.,-165.4,159.7,22.300000000000004,125.50999999999998,5.63
2,2020,267,53,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,76.98,.,-189.7,108.7,24.85,122.82999999999998,4.94
2,2021,374,42,Rio Grande Nature Center,35.1267624154,-106.688450012,Center well ground EMLID,Angostura Reach,8330000,Rio Grande at Albuquerque 08330000,68.21,.,-192.2,146.6,9.139999999999999,101.04999999999997,11.06
3,1998,166,18,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",.,.,.,.,.,.,.
3,1999,187,31,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",.,.,.,.,.,.,.
3,2000,164,16,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",155.79,.,-99,182.2,49.36,483.14,9.79
3,2001,221,23,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",162.77,.,-105.5,107.6,62.06,574.6099999999999,9.26
3,2002,169,23,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",148.68,.,-107.4,182.15,53.17999999999999,517.1800000000001,9.73
3,2003,124,21,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",122.32,.,-141.3,114.6,54.45,449.59999999999997,8.26
3,2004,234,27,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",139.99,.,-142.3,192.15,68.45,517.9599999999999,7.57
3,2005,192,26,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",144.3,.,-105.5,189.3,77.25,548.51,7.1
3,2006,197,24,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",125.76,.,-125.4,173.65,64.67,464.07000000000005,7.18
3,2007,198,28,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",154.59,.,-127.2,171.4,64.43,541.3299999999999,8.4
3,2008,140,25,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",122.59,.,-122,147.75,65.6,492.9500000000001,7.51
3,2009,509,31,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",140.5,.,-128.4,170.5,69.1,456.53,6.61
3,2010,230,24,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",130.31,.,-137.4,190.3,72.56,432.72,5.96
3,2011,347,35,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",144.12,.,-148.5,167,77.56,386.9000000000002,4.99
3,2012,523,35,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",147.73,.,-164.8,112.05,80.86,390.3,4.83
3,2013,309,36,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",129.97,.,-153,216.8,85.66,320.8900000000001,3.75
3,2014,587,32,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",140.78,.,-152.5,131.05,92.94,402.97,4.34
3,2015,2425,36,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",107.37,.,-130,176.15,83.87,362.88,4.33
3,2016,767,33,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",136.07,.,-149.5,103.4,90.92,379.37,4.17
3,2017,1352,51,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",111.4,.,-132.5,209.15000000000003,99.21000000000001,394.21000000000004,3.97
3,2018,683,48,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",119.41,.,-166.7,83.49499999999999,103.43,307.5400000000001,2.97
3,2019,269,47,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",111.87,.,-113.8,154.55,99.03999999999999,283.0900000000001,2.86
3,2020,288,35,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",114.21,.,-161.1,106.4,109.56,261.11,2.38
3,2021,238,44,Los Lunas,34.8123850767529,-106.714471968474,Center well ground EMLID,Isleta Reach,8331160,"1) Rio Grande Near Bosque Farms 08331160 03/16/06 to present 2) Rio Grande at Isleta Lakes Near Isleta 08330875 10/1/02-03/16/06, 3)  Rio Grande Floodway Near Bernardo 08332010 from beginning til 10/1/02",111.1,.,-156.7,65.80000000000001,112.22,277.46000000000004,2.47
4,1998,341,31,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,.,.,.,.,.,.,.
4,1999,229,15,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,.,.,.,.,.,.,.
4,2000,338,22,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,70.06,.,-91.2,248.05,84.57000000000001,534.6700000000001,6.32
4,2001,270,18,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,92.27,.,-97.7,126.05,84.46000000000001,536.5,6.35
4,2002,146,17,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,103.54,.,-109.1,138.7,94.19000000000001,437.56,4.65
4,2003,235,27,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,119.48,.,-118.5,149.70000000000002,98.46000000000001,372.36,3.78
4,2004,373,35,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,122.72,.,-115.3,262.84999999999997,105.07,410.02,3.9
4,2005,284,34,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,135.23,.,-101,153.99999999999997,92.3,409.85,4.44
4,2006,425,34,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,154.35,.,-122,290,102.59,340.38,3.32
4,2007,921,43,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,126.03,.,-116.6,196.7,134.29,362.94000000000017,2.7
4,2008,343,40,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,137.05,.,-99.8,194.7,105.57,372.56000000000006,3.53
4,2009,573,31,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,145.56,.,-109.3,115.35,86.07999999999998,384.12,4.46
4,2010,298,33,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,148.34,.,-120,154.8,93.11,376.4699999999999,4.04
4,2011,189,37,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,174.48,.,-134.4,143.5,67.31,278.4599999999999,4.14
4,2012,266,41,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,159.03,.,-133.9,159.25,82.84000000000002,283.6100000000002,3.42
4,2013,214,39,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,170.52,.,-133.6,259.4,86.13000000000001,264.38,3.07
4,2014,314,48,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,198.98,.,-131.1,196.5,101.94999999999999,276.70000000000005,2.71
4,2015,566,48,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,182.29,.,-113,251.3,107.25999999999999,253.72000000000008,2.37
4,2016,556,47,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,193.76,.,-123.4,130.65,117.78999999999999,277.08,2.35
4,2017,526,36,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,192.36,.,-93.6,224.8,112.75999999999999,299.59000000000003,2.66
4,2018,510,36,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,185.93,.,-140.2,94.345,99.36000000000001,272.54,2.74
4,2019,458,33,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,213.54,.,-85,241.8,107.05000000000001,289.5100000000001,2.7
4,2020,208,40,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,224.34,.,-145.3,131.65,97.33999999999999,274.23000000000013,2.82
4,2021,202,37,Belen,34.6481124155284,-106.737727748983,Center well ground EMLID,Isleta Reach,8331510,1) Rio Grande at State Hwy 346 near Bosque 08331510 from 10/2005 to present 2) Rio Grande Floodway Near Bernardo 08332010 from beginning to 10/2005,220.73,.,-128.6,179.5,94.4,290.1799999999999,3.07
5,1999,59,13,Santa Ana,35.34284,-106.5458,Est from map,Angostura Reach,.,.,.,.,.,.,.,.,.
5,2000,70,12,Santa Ana,35.34284,-106.5458,Est from map,Angostura Reach,.,.,262.05,0.13,.,.,1.1400000000000001,262.6,230.35
5,2001,29,9,Santa Ana,35.34284,-106.5458,Est from map,Angostura Reach,.,.,274.52,0.48,.,.,2.63,276.09,104.98
5,2002,31,9,Santa Ana,35.34284,-106.5458,Est from map,Angostura Reach,.,.,267.23,.,.,.,0.39,268.64000000000004,688.82
5,2004,23,10,Santa Ana,35.34284,-106.5458,Est from map,Angostura Reach,.,.,270.15,.,.,.,0.42,271.82,647.19
5,2008,0,1,Santa Ana,35.34284,-106.5458,Est from map,Angostura Reach,.,.,263.56,.,.,.,2.55,270.54999999999995,106.1
