Site number,Year,Name,lettercode,numbercode,family,class,order,genspp,Annual mean counts
1,1999,Gryllus alogus,GRGRYALO,1193701,37,1,19,1,1
1,1999,Hemiptera,INHE,1750000,0,1,75,0,5
1,1999,Lepismatidae,INZYLEP,1420200,2,1,42,0,3
1,1999,Pogonomyrmex sp.,FOPOG,1111337,13,1,11,37,10
1,1999,Porcellio laevis,PORLAE,6020101,1,6,2,1,3
1,1999,Prenolepis sp.,FOPRE,1111339,13,1,11,39,2
1,1999,Pterostichus sp.,CAPTE,1025520,55,1,2,20,1
1,1999,Rhaphidophoridae,INORRHA,1190900,9,1,19,0,1
1,1999,Scarabaeidae,INCOSCA,1020400,4,1,2,0,4
1,1999,Scarites lissopterus,CASCALIS,1025511,55,1,2,11,1
1,1999,Tenebrionidae,COTEN,1024600,46,1,2,0,1
1,1999,.,NOCAP,0,0,0,0,0,0
1,2000,Acari,ARACA,5020000,0,5,2,0,3
1,2000,Araneae,ARARA,5010000,0,5,1,0,6
1,2000,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,17
1,2000,Blapstinus sp.,TEBLA,1024646,46,1,2,46,3
1,2000,Calathus opaculus,CACALOPA,1025503,55,1,2,3,6
1,2000,Collembola,INCL,1040000,0,1,4,0,11
1,2000,Curculionidae,INCOCUR,1023100,31,1,2,0,2
1,2000,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,6
1,2000,Elateridae,INCOELA,1020500,5,1,2,0,2
1,2000,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,2
1,2000,Embaphion sp.,TEEMB,1024647,46,1,2,47,1
1,2000,Formicidae,INHYFOR,1111300,13,1,11,0,8
1,2000,Gastropoda,GA,9020000,0,9,2,0,1
1,2000,Gryllus alogus,GRGRYALO,1193701,37,1,19,1,1
1,2000,Hemiptera,INHE,1750000,0,1,75,0,3
1,2000,Lepidoptera,INLE,1090000,0,1,9,0,1
1,2000,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,8
1,2000,Mutillidae,INHYMUT,1111900,19,1,11,0,1
1,2000,Opiliones,AROPI,5050000,0,5,5,0,1
1,2000,Pasimachus elongatus,CAPASELA,1025531,55,1,2,31,1
1,2000,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,2
1,2000,Pterostichus sp.,CAPTE,1025520,55,1,2,20,2
1,2000,Reduviidae,INHERED,1750100,1,1,75,0,1
1,2000,Rhaphidophoridae,INORRHA,1190900,9,1,19,0,1
1,2000,Scarabaeidae,INCOSCA,1020400,4,1,2,0,1
1,2000,Stenopelmatidae,INORSTE,1191100,11,1,19,0,1
1,2000,Tenebrionidae,COTEN,1024600,46,1,2,0,1
1,2000,.,NOCAP,0,0,0,0,0,0
1,2000,.,.,.,.,.,.,.,0
1,2001,Acari,ARACA,5020000,0,5,2,0,11
1,2001,Araneae,ARARA,5010000,0,5,1,0,5
1,2001,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,22
1,2001,Blapstinus sp.,TEBLA,1024646,46,1,2,46,8
1,2001,Calathus opaculus,CACALOPA,1025503,55,1,2,3,3
1,2001,Cicadidae,INHECIC,1751600,16,1,75,0,12
1,2001,Coleoptera,INCO,1020000,0,1,2,0,1
1,2001,Collembola,INCL,1040000,0,1,4,0,3
1,2001,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,8
1,2001,Curculionidae,INCOCUR,1023100,31,1,2,0,3
1,2001,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,3
1,2001,Elateridae,INCOELA,1020500,5,1,2,0,1
1,2001,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,3
1,2001,Embaphion contusum,TEEMBCON,1024651,46,1,2,51,1
1,2001,Embaphion sp.,TEEMB,1024647,46,1,2,47,1
1,2001,Formicidae,INHYFOR,1111300,13,1,11,0,5
1,2001,Galerita janus,CAGALJAN,1025526,55,1,2,26,1
1,2001,Gastropoda,GA,9020000,0,9,2,0,2
1,2001,Gryllus alogus,GRGRYALO,1193701,37,1,19,1,2
1,2001,Hemiptera,INHE,1750000,0,1,75,0,3
1,2001,Lepidoptera,INLE,1090000,0,1,9,0,7
1,2001,Pasimachus elongatus,CAPASELA,1025531,55,1,2,31,1
1,2001,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,1
1,2001,Rhaphidophoridae,INORRHA,1190900,9,1,19,0,1
1,2001,Scarabaeidae,INCOSCA,1020400,4,1,2,0,2
1,2001,Stenopelmatidae,INORSTE,1191100,11,1,19,0,1
1,2001,Zygentoma,INZY,1420000,0,1,42,0,2
1,2001,.,NOCAP,0,0,0,0,0,0
1,2002,Acari,ARACA,5020000,0,5,2,0,6
1,2002,Araneae,ARARA,5010000,0,5,1,0,30
1,2002,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,17
1,2002,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,11
1,2002,Blapstinus pimalis,TEBLAPIM,1024650,46,1,2,50,4
1,2002,Calathus opaculus,CACALOPA,1025503,55,1,2,3,12
1,2002,Camponotus modoc,FOCAMMOD,1111338,13,1,11,38,4
1,2002,Camponotus sp.,FOCAM,1111344,13,1,11,44,2
1,2002,Camponotus vicinus,FOCAMVIC,1111324,13,1,11,24,1
1,2002,Carabidae,INCOCAR,1025500,55,1,2,0,1
1,2002,Chrysomelidae,INCOCHR,1020900,9,1,2,0,1
1,2002,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,7
1,2002,Curculionidae,INCOCUR,1023100,31,1,2,0,3
1,2002,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,2
1,2002,Cydnidae,INHECYD,1750500,5,1,75,0,1
1,2002,Diptera,INDI,1060000,0,1,6,0,1
1,2002,Embaphion contusum,TEEMBCON,1024651,46,1,2,51,1
1,2002,Formica sp.,FOFOM,1111309,13,1,11,9,2
1,2002,Gryllidae,INORGRY,1193700,37,1,19,0,5
1,2002,Hymenoptera,INHY,1110000,0,1,11,0,1
1,2002,Largidae,INHELAR,1750700,7,1,75,0,1
1,2002,Lasius sp.,FOLAS,1111310,13,1,11,10,3
1,2002,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,3
1,2002,Lepismatidae,INZYLEP,1420200,2,1,42,0,7
1,2002,Lygaeidae,INHELYG,1750300,3,1,75,0,6
1,2002,Monomorium minimum,FOMONMIN,1111317,13,1,11,17,2
1,2002,Myrmecocystus sp.,FOMYM,1111345,13,1,11,45,2
1,2002,Myrmicinae,FOMYR,1111313,13,1,11,13,2
1,2002,Pasimachus elongatus,CAPASELA,1025531,55,1,2,31,2
1,2002,Pentatomidae,INHEPEN,1750800,8,1,75,0,1
1,2002,Phasmatodea,INPH,1770000,0,1,77,0,1
1,2002,Pheidole sp.,FOPHE,1111314,13,1,11,14,3
1,2002,Polyxenida,DIPOX,7030000,0,7,3,0,4
1,2002,Prenolepis sp.,FOPRE,1111339,13,1,11,39,2
1,2002,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,2
1,2002,Reduviidae,INHERED,1750100,1,1,75,0,2
1,2002,Tenebrionidae,COTEN,1024600,46,1,2,0,1
1,2002,Zygentoma,INZY,1420000,0,1,42,0,6
1,2002,.,NOCAP,0,0,0,0,0,0
1,2002,.,.,.,.,.,.,.,0
1,2003,Acari,ARACA,5020000,0,5,2,0,2
1,2003,Apoidea,INHYAPO,1111000,10,1,11,0,2
1,2003,Araneae,ARARA,5010000,0,5,1,0,7
1,2003,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,10
1,2003,Asidopsis opaca,TEASIOPA,1024645,46,1,2,45,3
1,2003,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,16
1,2003,Calathus opaculus,CACALOPA,1025503,55,1,2,3,7
1,2003,Coleoptera larva,INCOLAR,1020001,0,1,2,1,3
1,2003,Collembola,INCL,1040000,0,1,4,0,6
1,2003,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,37
1,2003,Curculionidae,INCOCUR,1023100,31,1,2,0,1
1,2003,Dermestidae larva,CODERLAR,1020701,7,1,2,1,1
1,2003,Elateridae,INCOELA,1020500,5,1,2,0,1
1,2003,Eleodes sponsus,TEELESPO,1024643,46,1,2,43,1
1,2003,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,4
1,2003,Embaphion contusum,TEEMBCON,1024651,46,1,2,51,2
1,2003,Formica sp.,FOFOM,1111309,13,1,11,9,3
1,2003,Gryllidae,INORGRY,1193700,37,1,19,0,4
1,2003,Lasius sp.,FOLAS,1111310,13,1,11,10,1
1,2003,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,2
1,2003,Lepismatidae,INZYLEP,1420200,2,1,42,0,6
1,2003,Leptothorax sp.,FOLEP,1111306,13,1,11,6,1
1,2003,Lygaeidae,INHELYG,1750300,3,1,75,0,5
1,2003,Neivamyrmex sp.,FONEI,1111311,13,1,11,11,1
1,2003,Pasimachus californicus,CAPASCAL,1025538,55,1,2,38,7
1,2003,Polyxenida,DIPOX,7030000,0,7,3,0,4
1,2003,Prenolepis sp.,FOPRE,1111339,13,1,11,39,1
1,2003,Rhaphidophoridae,INORRHA,1190900,9,1,19,0,1
1,2003,Solenopsis sp.,FOSOL,1111305,13,1,11,5,6
1,2003,Stenopelmatidae,INORSTE,1191100,11,1,19,0,1
1,2003,.,NOCAP,0,0,0,0,0,0
1,2003,.,.,.,.,.,.,.,0
1,2004,Acari,ARACA,5020000,0,5,2,0,9
1,2004,Aphaenogaster sp.,FOAPH,1111301,13,1,11,1,1
1,2004,Araneae,ARARA,5010000,0,5,1,0,7
1,2004,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,35
1,2004,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,20
1,2004,Calathus opaculus,CACALOPA,1025503,55,1,2,3,3
1,2004,Camponotus sp.,FOCAM,1111344,13,1,11,44,2
1,2004,Chalcidoidea,INHYCHA,1111600,16,1,11,0,1
1,2004,Cicadidae,INHECIC,1751600,16,1,75,0,1
1,2004,Coleoptera larva,INCOLAR,1020001,0,1,2,1,1
1,2004,Collembola,INCL,1040000,0,1,4,0,3
1,2004,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,17
1,2004,Curculionidae,INCOCUR,1023100,31,1,2,0,2
1,2004,Diptera,INDI,1060000,0,1,6,0,11
1,2004,Elateridae,INCOELA,1020500,5,1,2,0,1
1,2004,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,5
1,2004,Formica sp.,FOFOM,1111309,13,1,11,9,3
1,2004,Gryllidae,INORGRY,1193700,37,1,19,0,1
1,2004,Hemiptera,INHE,1750000,0,1,75,0,1
1,2004,Insecta,IN,1000000,0,1,0,0,1
1,2004,Insecta larva,INLA,1000001,0,1,0,1,2
1,2004,Lasius sp.,FOLAS,1111310,13,1,11,10,5
1,2004,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,1
1,2004,Lepismatidae,INZYLEP,1420200,2,1,42,0,6
1,2004,Leptothorax sp.,FOLEP,1111306,13,1,11,6,38
1,2004,Lygaeidae,INHELYG,1750300,3,1,75,0,8
1,2004,Monomorium sp.,FOMON,1111343,13,1,11,43,1
1,2004,Mutillidae,INHYMUT,1111900,19,1,11,0,1
1,2004,Myrmecocystus sp.,FOMYM,1111345,13,1,11,45,1
1,2004,Nabidae,INHENAB,1750900,9,1,75,0,2
1,2004,Noctuidae,INLENOC,1090100,1,1,9,0,1
1,2004,Pasimachus californicus,CAPASCAL,1025538,55,1,2,38,1
1,2004,Pasimachus elongatus,CAPASELA,1025531,55,1,2,31,4
1,2004,Pheidole sp.,FOPHE,1111314,13,1,11,14,1
1,2004,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,1
1,2004,Reduviidae,INHERED,1750100,1,1,75,0,3
1,2004,Rhaphidophoridae,INORRHA,1190900,9,1,19,0,1
1,2004,Solenopsis sp.,FOSOL,1111305,13,1,11,5,3
1,2004,Tapinoma sessile,FOTAPSES,1111318,13,1,11,18,2
1,2004,Thysanoptera,INTT,1080000,0,1,8,0,1
1,2004,.,NOCAP,0,0,0,0,0,0
1,2004,.,.,.,.,.,.,.,0
1,2005,Acari,ARACA,5020000,0,5,2,0,5
1,2005,Araneae,ARARA,5010000,0,5,1,0,6
1,2005,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,17
1,2005,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,1
1,2005,Calathus opaculus,CACALOPA,1025503,55,1,2,3,11
1,2005,Coleoptera,INCO,1020000,0,1,2,0,2
1,2005,Collembola,INCL,1040000,0,1,4,0,333
1,2005,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,8
1,2005,Curculionidae,INCOCUR,1023100,31,1,2,0,1
1,2005,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,1
1,2005,Dermestidae larva,CODERLAR,1020701,7,1,2,1,1
1,2005,Dorymyrmex sp.,FODOR,1111302,13,1,11,2,2
1,2005,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,1
1,2005,Formica sp.,FOFOM,1111309,13,1,11,9,3
1,2005,Formicidae,INHYFOR,1111300,13,1,11,0,4
1,2005,Gryllidae,INORGRY,1193700,37,1,19,0,1
1,2005,Hemiptera,INHE,1750000,0,1,75,0,4
1,2005,Hoplia sp.,SCHOP,1020408,4,1,2,8,1
1,2005,Insecta,IN,1000000,0,1,0,0,1
1,2005,Insecta larva,INLA,1000001,0,1,0,1,8
1,2005,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,2
1,2005,Leptothorax sp.,FOLEP,1111306,13,1,11,6,3
1,2005,Pasimachus californicus,CAPASCAL,1025538,55,1,2,38,2
1,2005,Poecilus sp.,CAPOE,1025528,55,1,2,28,3
1,2005,Pogonomyrmex sp.,FOPOG,1111337,13,1,11,37,1
1,2005,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,1
1,2005,Psocoptera,INPS,1220000,0,1,22,0,1
1,2005,Sciaridae,INDISCI,1060500,5,1,6,0,1
1,2005,Solenopsis sp.,FOSOL,1111305,13,1,11,5,1
1,2005,.,NOCAP,0,0,0,0,0,0
1,2005,.,.,.,.,.,.,.,0
1,2006,Acari,ARACA,5020000,0,5,2,0,4
1,2006,Amara sp.,CAAMA,1025505,55,1,2,5,1
1,2006,Araneae,ARARA,5010000,0,5,1,0,6
1,2006,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,51
1,2006,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,4
1,2006,Calathus opaculus,CACALOPA,1025503,55,1,2,3,6
1,2006,Ceuthophilus sp.,RHCEU,1190903,9,1,19,3,3
1,2006,Coleoptera,INCO,1020000,0,1,2,0,10
1,2006,Coleoptera larva,INCOLAR,1020001,0,1,2,1,1
1,2006,Collembola,INCL,1040000,0,1,4,0,17
1,2006,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,6
1,2006,Curculionidae,INCOCUR,1023100,31,1,2,0,1
1,2006,Cyclotrachelus substriatus,CACYCSUB,1025527,55,1,2,27,2
1,2006,Diptera,INDI,1060000,0,1,6,0,1
1,2006,Elateridae,INCOELA,1020500,5,1,2,0,1
1,2006,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,1
1,2006,Formicidae,INHYFOR,1111300,13,1,11,0,1
1,2006,Gryllidae,INORGRY,1193700,37,1,19,0,1
1,2006,Hemiptera,INHE,1750000,0,1,75,0,5
1,2006,Hymenoptera,INHY,1110000,0,1,11,0,2
1,2006,Insecta larva,INLA,1000001,0,1,0,1,1
1,2006,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,2
1,2006,Lepismatidae,INZYLEP,1420200,2,1,42,0,5
1,2006,Monomorium sp.,FOMON,1111343,13,1,11,43,3
1,2006,Pasimachus californicus,CAPASCAL,1025538,55,1,2,38,6
1,2006,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,2
1,2006,Solenopsis sp.,FOSOL,1111305,13,1,11,5,5
1,2006,Staphylinidae,INCOSTA,1021700,17,1,2,0,1
1,2006,Stenopelmatus fuscus,STSTEFUS,1191101,11,1,19,1,1
1,2006,.,NOCAP,0,0,0,0,0,0
1,2006,.,.,.,.,.,.,.,0
1,2007,Acari,ARACA,5020000,0,5,2,0,4
1,2007,Araneae,ARARA,5010000,0,5,1,0,4
1,2007,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,109
1,2007,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,4
1,2007,Blapstinus pimalis,TEBLAPIM,1024650,46,1,2,50,1
1,2007,Calathus opaculus,CACALOPA,1025503,55,1,2,3,14
1,2007,Camponotus sp.,FOCAM,1111344,13,1,11,44,1
1,2007,Carabidae,INCOCAR,1025500,55,1,2,0,1
1,2007,Chilopoda,CH,2000000,0,2,0,0,4
1,2007,Coleoptera,INCO,1020000,0,1,2,0,3
1,2007,Collembola,INCL,1040000,0,1,4,0,1
1,2007,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,2
1,2007,Curculionidae,INCOCUR,1023100,31,1,2,0,1
1,2007,Dermestidae larva,CODERLAR,1020701,7,1,2,1,2
1,2007,Diplopoda,DI,7000000,0,7,0,0,1
1,2007,Diptera,INDI,1060000,0,1,6,0,6
1,2007,Dorymyrmex sp.,FODOR,1111302,13,1,11,2,1
1,2007,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,2
1,2007,Formicinae,FOFON,1111349,13,1,11,49,7
1,2007,Gryllidae,INORGRY,1193700,37,1,19,0,2
1,2007,Harpalus sp.,CAHAR,1025530,55,1,2,30,1
1,2007,Hemiptera,INHE,1750000,0,1,75,0,16
1,2007,Insecta,IN,1000000,0,1,0,0,6
1,2007,Insecta larva,INLA,1000001,0,1,0,1,1
1,2007,Lasius sp.,FOLAS,1111310,13,1,11,10,1
1,2007,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,2
1,2007,Lepismatidae,INZYLEP,1420200,2,1,42,0,6
1,2007,Monomorium sp.,FOMON,1111343,13,1,11,43,24
1,2007,Orthoptera,INOR,1190000,0,1,19,0,19
1,2007,Pasimachus californicus,CAPASCAL,1025538,55,1,2,38,1
1,2007,Pheidole sp.,FOPHE,1111314,13,1,11,14,1
1,2007,Polyxenida,DIPOX,7030000,0,7,3,0,1
1,2007,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,2
1,2007,Solenopsis sp.,FOSOL,1111305,13,1,11,5,8
1,2007,.,NOCAP,0,0,0,0,0,0
1,2007,.,.,.,.,.,.,.,0
1,2008,Acari,ARACA,5020000,0,5,2,0,9
1,2008,Araneae,ARARA,5010000,0,5,1,0,8
1,2008,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,104
1,2008,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,9
1,2008,Calathus opaculus,CACALOPA,1025503,55,1,2,3,3
1,2008,Camponotus sp.,FOCAM,1111344,13,1,11,44,1
1,2008,Coleoptera,INCO,1020000,0,1,2,0,1
1,2008,Collembola,INCL,1040000,0,1,4,0,1
1,2008,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,9
1,2008,Curculionidae,INCOCUR,1023100,31,1,2,0,3
1,2008,Dermestidae larva,CODERLAR,1020701,7,1,2,1,7
1,2008,Dorymyrmex sp.,FODOR,1111302,13,1,11,2,24
1,2008,Elateridae,INCOELA,1020500,5,1,2,0,1
1,2008,Eleodes suturalis,TEELESUT,1024607,46,1,2,7,2
1,2008,Formica sp.,FOFOM,1111309,13,1,11,9,6
1,2008,Formicinae,FOFON,1111349,13,1,11,49,1
1,2008,Gryllidae,INORGRY,1193700,37,1,19,0,3
1,2008,Hemiptera,INHE,1750000,0,1,75,0,9
1,2008,Hymenoptera,INHY,1110000,0,1,11,0,2
1,2008,Insecta,IN,1000000,0,1,0,0,2
1,2008,Insecta larva,INLA,1000001,0,1,0,1,1
1,2008,Lasius sp.,FOLAS,1111310,13,1,11,10,4
1,2008,Lepidoptera larva,LELEPLAR,1090001,0,1,9,1,4
1,2008,Lepismatidae,INZYLEP,1420200,2,1,42,0,13
1,2008,Lycosidae,ARARALYC,5012400,24,5,1,0,2
1,2008,Monomorium sp.,FOMON,1111343,13,1,11,43,32
1,2008,Myrmicinae,FOMYR,1111313,13,1,11,13,4
1,2008,Pasimachus californicus,CAPASCAL,1025538,55,1,2,38,4
1,2008,Pheidole sp.,FOPHE,1111314,13,1,11,14,3
1,2008,Pogonomyrmex sp.,FOPOG,1111337,13,1,11,37,10
1,2008,Porcellio laevis,PORLAE,6020101,1,6,2,1,1
1,2008,Pseudoscorpiones,ARPSE,5030000,0,5,3,0,3
1,2008,Scarites sp.,CASCA,1025501,55,1,2,1,1
1,2008,Solenopsis sp.,FOSOL,1111305,13,1,11,5,5
1,2008,Trox sp.,COTROTRO,1029603,96,1,2,3,1
1,2008,.,NOCAP,0,0,0,0,0,0
1,2009,Acari,ARACA,5020000,0,5,2,0,10
1,2009,Araneae,ARARA,5010000,0,5,1,0,7
1,2009,Armadillidium vulgare,ARMVUL,6020202,2,6,2,2,42
1,2009,Blapstinus fortis,TEBLAFOR,1024648,46,1,2,48,5
1,2009,Blapstinus pimalis,TEBLAPIM,1024650,46,1,2,50,1
1,2009,Calathus opaculus,CACALOPA,1025503,55,1,2,3,1
1,2009,Ceuthophilus sp.,RHCEU,1190903,9,1,19,3,1
1,2009,Coleoptera larva,INCOLAR,1020001,0,1,2,1,3
1,2009,Collembola,INCL,1040000,0,1,4,0,3
1,2009,Crematogaster cerasi,FOCRECER,1111316,13,1,11,16,10
1,2009,Culicidae,INDICUL,1060400,4,1,6,0,1
1,2009,Dermestidae larva,CODERLAR,1020701,7,1,2,1,3
1,2009,Diptera,INDI,1060000,0,1,6,0,1
1,2009,Dorymyrmex sp.,FODOR,1111302,13,1,11,2,2
1,2009,Dysdera crocata,ARDYSCRO,5011402,14,5,1,2,1
1,2009,Elateridae,INCOELA,1020500,5,1,2,0,1
