Site name,Year,Month,Mean percent defoliation,Mean percent refoliation,Mean percent brown defoliation,Mean percent yellow defoliation,Mean percent dead canopy,Mean percent flowering,ym_date,Monthly sum TLB adults,Monthly sum TLB early larvae,Monthly sum TLB late larvae,Monthly sum TLB TLB egg masses,Monthly sum Weevil adults,Monthly sum Weevil larvae,Monthly sum Weevil casings,Monthly sum Leafhoppers,Monthly sum Spiders,Monthly sum Lady Bugs,Monthly sum Ants,Site number,Latitude,Longitude
Albuquerque Overbank Project,2017,7,16,0,6,10,NA,NA,2017-07-22,0,0,0,0,2,1,1,31,0,0,3,29,35.04546,-106.6657
Albuquerque Overbank Project,2017,8,24,0,10,14,NA,NA,2017-08-14,0,0,0,0,0,0,0,6,0,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2018,5,0,0,0,0,12,NA,2018-05-16,0,0,0,0,0,0,0,4,2,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2018,6,0,20,0,0,4,NA,2018-06-19,0,0,3,0,0,3,0,9,0,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2018,7,4,0,0,4,4,NA,2018-07-18,0,1,0,1,1,0,0,20,5,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2018,8,18,0,2,16,16,NA,2018-08-21,1,1,0,0,0,0,1,6,1,0,1,29,35.04546,-106.6657
Albuquerque Overbank Project,2019,5,0,0,0,0,50.4,NA,2019-05-20,0,0,0,0,0,0,0,0,0,0,1,29,35.04546,-106.6657
Albuquerque Overbank Project,2019,6,1.2,0,0,1.2,24.4,NA,2019-06-18,0,0,0,0,0,1,0,25,2,0,1,29,35.04546,-106.6657
Albuquerque Overbank Project,2019,7,3.6,0,0.4,3.2,18,NA,2019-07-18,1,0,0,0,0,0,0,23,9,1,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2019,8,9.2,0,3.6,5.6,10.8,NA,2019-08-22,0,0,0,0,0,0,0,4,2,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2020,5,1.2,0,0.4,0.8,28.4,NA,2020-05-21,1,0,0,0,0,0,0,1,1,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2020,6,3.2,0,1.2,2,14.4,NA,2020-06-18,0,0,0,0,0,0,0,1,1,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2020,7,11.2,0,2,9.2,26.4,NA,2020-07-24,0,0,0,0,0,0,0,5,0,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2020,8,10.4,0,3.2,7.2,30.4,NA,2020-08-21,0,0,0,0,0,0,0,1,0,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2021,5,0,0,0,0,34,6.8,2021-05-17,0,0,0,0,0,0,0,1,0,0,1,29,35.04546,-106.6657
Albuquerque Overbank Project,2021,6,1.2,0,0,1.6,38,10.4,2021-06-15,0,0,0,0,0,0,0,0,2,0,3,29,35.04546,-106.6657
Albuquerque Overbank Project,2021,7,14.8,0,0,16.8,46,4.4,2021-07-24,0,0,0,0,0,0,0,2,1,0,8,29,35.04546,-106.6657
Albuquerque Overbank Project,2021,8,13.2,0,2,11.2,22,1.6,2021-08-19,0,0,0,0,1,0,0,8,5,0,13,29,35.04546,-106.6657
Albuquerque Overbank Project,2022,5,13.2,0,12,1.2,34,28,2022-05-20,0,0,0,0,0,0,0,7,1,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2022,6,6.4,0,4.8,1.6,34,6.8,2022-06-24,0,0,0,0,0,0,0,9,2,0,5,29,35.04546,-106.6657
Albuquerque Overbank Project,2022,7,3.6,0,0,3.6,20.4,2.8,2022-07-20,0,1,0,0,1,0,0,1,0,0,13,29,35.04546,-106.6657
Albuquerque Overbank Project,2022,8,16.4,0,1.2,15.2,12.8,4.8,2022-08-15,0,0,0,0,0,0,0,35,3,0,9,29,35.04546,-106.6657
Albuquerque Overbank Project,2023,5,5.2,0,4.8,0.4,38,38,2023-05-18,0,0,0,0,0,0,0,6,0,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2023,6,3.6,0,0.4,3.2,20,16,2023-06-20,0,0,0,0,0,1,0,144,2,0,0,29,35.04546,-106.6657
Albuquerque Overbank Project,2023,7,16.4,0.4,1.2,15.2,24,2.4,2023-07-20,0,0,0,0,0,0,0,71,9,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2023,8,14.4,0,2.8,11.6,14,1.2,2023-08-15,0,0,0,0,0,0,0,11,3,0,3,29,35.04546,-106.6657
Albuquerque Overbank Project,2024,5,1.2,0,1.2,0,28,10.4,2024-05-21,0,0,0,0,0,0,0,0,0,0,8,29,35.04546,-106.6657
Albuquerque Overbank Project,2024,6,2.4,0,2,0.4,30,14,2024-06-18,0,0,0,0,0,0,0,2,1,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2024,7,4.8,0,1.2,3.6,40,2,2024-07-18,0,0,0,0,0,0,0,11,1,0,11,29,35.04546,-106.6657
Albuquerque Overbank Project,2024,8,10.4,0,2,8.4,26,3.2,2024-08-22,0,0,0,0,0,0,0,3,1,0,6,29,35.04546,-106.6657
Albuquerque Overbank Project,2025,5,2,0,2,0,24,14.8,2025-05-20,0,0,0,0,0,0,0,2,0,0,2,29,35.04546,-106.6657
Albuquerque Overbank Project,2025,6,5.2,0,1.6,3.6,10.8,7.6,2025-06-17,0,0,0,0,0,0,0,1,0,0,1,29,35.04546,-106.6657
Albuquerque Overbank Project,2025,7,11.6,7.2,3.2,8.4,18.4,4.8,2025-07-15,0,0,0,0,0,0,0,0,3,0,12,29,35.04546,-106.6657
Albuquerque Overbank Project,2025,8,12.8,0,7.6,5.2,24,1.2,2025-08-20,0,0,0,0,0,0,0,0,0,2,3,29,35.04546,-106.6657
BioPark,2015,7,6,0,NA,NA,NA,NA,2015-07-18,0,0,0,0,0,0,1,5,6,0,3,23,35.079,-106.668
BioPark,2016,5,2,0,NA,NA,NA,NA,2016-05-18,0,0,0,0,0,1,0,2,1,0,0,23,35.079,-106.668
BioPark,2016,6,3,0,NA,NA,NA,NA,2016-06-20,0,3,1,0,0,0,1,8,5,0,7,23,35.079,-106.668
BioPark,2016,8,5,0,NA,NA,NA,NA,2016-08-17,0,0,0,0,0,0,0,5,2,0,42,23,35.079,-106.668
BioPark,2017,5,12,0,6,6,16,NA,2017-05-18,0,0,0,0,1,0,3,1,1,0,0,23,35.079,-106.668
BioPark,2017,6,18,0,8,10,NA,NA,2017-06-22,1,1,0,0,0,0,0,4,0,0,1,23,35.079,-106.668
BioPark,2017,7,16,2,8,8,NA,NA,2017-07-20,0,0,0,0,0,0,1,6,2,0,7,23,35.079,-106.668
BioPark,2017,8,20,0,10,10,NA,NA,2017-08-18,0,0,0,0,0,0,2,3,2,0,5,23,35.079,-106.668
Bobcat,2014,5,NA,NA,NA,NA,NA,NA,2014-05-27,1,0,0,0,0,0,0,3,1,0,5,22,35.19705633,-106.6439494
Bobcat,2016,5,5,0,NA,NA,NA,NA,2016-05-23,0,0,0,0,0,0,0,2,0,0,1,22,35.19705633,-106.6439494
Bobcat,2016,6,5,0,NA,NA,NA,NA,2016-06-23,0,0,0,0,0,0,0,3,4,0,0,22,35.19705633,-106.6439494
Bobcat,2016,7,7,0,NA,NA,NA,NA,2016-07-22,0,0,0,0,0,0,0,15,1,0,3,22,35.19705633,-106.6439494
Bobcat,2016,8,6,0,NA,NA,NA,NA,2016-08-17,0,1,0,0,0,0,0,9,3,0,4,22,35.19705633,-106.6439494
Bobcat,2017,5,0,0,0,0,0,NA,2017-05-15,0,0,0,0,0,0,0,7,0,0,0,22,35.19705633,-106.6439494
Bobcat,2017,6,14,0,6,8,NA,NA,2017-06-20,0,0,0,0,0,0,0,5,0,0,0,22,35.19705633,-106.6439494
Bobcat,2017,7,20,0,10,10,NA,NA,2017-07-18,1,0,0,1,0,0,0,7,1,0,8,22,35.19705633,-106.6439494
Bobcat,2017,8,18,0,10,8,NA,NA,2017-08-16,1,0,0,0,0,0,0,1,0,0,0,22,35.19705633,-106.6439494
Bosque Farms,2014,5,NA,NA,NA,NA,NA,NA,2014-05-20,0,0,0,0,0,2,0,0,0,0,0,27,34.848851,-106.714722
Bosque Farms,2014,6,1,NA,NA,NA,NA,NA,2014-06-21,0,0,0,0,0,0,0,21,2,0,1,27,34.848851,-106.714722
Bosque Farms,2014,7,5,NA,NA,NA,NA,NA,2014-07-18,1,0,1,0,0,0,0,5,2,0,4,27,34.848851,-106.714722
Bosque Farms,2014,8,2,NA,NA,NA,NA,NA,2014-08-14,0,4,3,0,0,1,0,21,1,0,2,27,34.848851,-106.714722
Bosque Farms,2016,5,5,0,NA,NA,NA,NA,2016-05-19,0,0,0,0,0,0,1,3,0,0,3,27,34.848851,-106.714722
Bosque Farms,2016,6,5,0,NA,NA,NA,NA,2016-06-21,0,0,1,0,1,0,0,26,1,0,2,27,34.848851,-106.714722
Bosque Farms,2016,7,6,0,NA,NA,NA,NA,2016-07-19,2,3,0,1,0,0,0,20,5,0,10,27,34.848851,-106.714722
Bosque Farms,2016,8,6,0,NA,NA,NA,NA,2016-08-15,0,0,0,0,0,0,0,13,2,0,8,27,34.848851,-106.714722
Bosque Farms,2017,5,0,0,0,0,0,NA,2017-05-14,0,0,0,0,0,2,0,3,0,0,9,27,34.848851,-106.714722
Bosque Farms,2017,6,16,0,8,8,NA,NA,2017-06-19,0,0,0,0,0,2,0,20,3,0,3,27,34.848851,-106.714722
Bosque Farms,2017,7,16,0,6,10,NA,NA,2017-07-17,0,0,0,0,5,0,2,12,6,0,0,27,34.848851,-106.714722
Bosque Farms,2017,8,20,0,10,10,NA,NA,2017-08-14,0,0,0,0,1,0,0,16,0,0,5,27,34.848851,-106.714722
Bosque Farms,2018,5,0,0,0,0,18,NA,2018-05-17,0,0,0,0,0,2,0,1,2,0,2,27,34.848851,-106.714722
Bosque Farms,2018,6,2,10,2,0,22,NA,2018-06-20,0,0,0,0,1,0,0,1,1,4,0,27,34.848851,-106.714722
Bosque Farms,2018,7,0,0,0,0,12,NA,2018-07-19,0,0,0,0,0,0,0,1,1,0,6,27,34.848851,-106.714722
Bosque Farms,2018,8,0,0,0,0,22,NA,2018-08-25,0,0,0,0,1,0,1,1,3,0,2,27,34.848851,-106.714722
Bosque Farms,2019,5,0,0,0,0,56,NA,2019-05-21,0,0,0,0,0,1,0,0,0,0,0,27,34.848851,-106.714722
Bosque Farms,2019,6,6.8,0,6,0.8,18,NA,2019-06-21,0,0,0,0,1,0,0,16,3,0,1,27,34.848851,-106.714722
Bosque Farms,2019,7,0.4,0,0,0.4,14,NA,2019-07-18,0,0,0,0,0,0,0,39,6,1,4,27,34.848851,-106.714722
Bosque Farms,2019,8,5.2,0.4,1.6,3.6,10.8,NA,2019-08-20,0,0,0,0,1,0,2,155,12,0,11,27,34.848851,-106.714722
Bosque Farms,2020,5,2.4,0,0.4,2,34,NA,2020-05-21,0,0,0,0,0,0,0,5,5,0,7,27,34.848851,-106.714722
Bosque Farms,2020,6,4,0,2,2,34,NA,2020-06-15,0,0,0,0,2,0,1,10,2,0,4,27,34.848851,-106.714722
Bosque Farms,2020,7,7.2,0,2,5.2,48,NA,2020-07-23,0,0,0,0,1,0,1,19,0,0,2,27,34.848851,-106.714722
Bosque Farms,2020,8,5.6,0,2,3.6,42,NA,2020-08-22,0,0,0,0,0,0,0,0,2,0,0,27,34.848851,-106.714722
Bosque Farms,2021,5,0,0,0,0,28,26,2021-05-19,0,0,0,0,0,0,0,1,1,0,5,27,34.848851,-106.714722
Bosque Farms,2021,6,1.2,0,0.4,0.8,38,26,2021-06-16,0,0,0,0,0,0,0,1,1,0,3,27,34.848851,-106.714722
Bosque Farms,2021,7,7.2,0.4,3.6,3.6,34,16,2021-07-21,0,1,0,0,0,0,0,2,2,0,14,27,34.848851,-106.714722
Bosque Farms,2022,5,0,0,0,0,36,34,2022-05-19,0,0,0,0,1,0,0,4,0,0,3,27,34.848851,-106.714722
Bosque Farms,2022,6,6.8,0,1.6,5.2,42,16.8,2022-06-24,0,0,0,0,0,0,0,11,1,0,24,27,34.848851,-106.714722
Bosque Farms,2022,7,8.8,0.4,2,6.8,38,8,2022-07-22,0,0,0,0,1,1,2,7,4,0,35,27,34.848851,-106.714722
Bosque Farms,2022,8,8.4,0,1.6,6.8,44,8.4,2022-08-18,0,1,0,0,0,0,1,59,1,0,20,27,34.848851,-106.714722
Bosque Farms,2023,5,2.4,0,2.4,0,64,42,2023-05-16,0,0,0,0,1,2,1,1,1,0,19,27,34.848851,-106.714722
Bosque Farms,2023,7,3.6,0,1.6,2,46,12.4,2023-07-20,0,0,0,0,5,0,11,6,8,1,22,27,34.848851,-106.714722
Bosque Farms,2023,8,6.8,3.2,3.6,3.2,44,8.8,2023-08-18,1,0,0,0,2,0,0,5,5,0,36,27,34.848851,-106.714722
Bosque Farms,2024,5,4,0,0,4,68,8,2024-05-23,0,0,0,0,0,0,0,2,2,0,10,27,34.848851,-106.714722
Bosque Farms,2024,6,0,0,0,0,48.57142857142857,12.428571428571429,2024-06-20,0,0,0,0,0,0,0,6,1,0,1,27,34.848851,-106.714722
Bosque Farms,2024,7,4.8,0,1.6,3.2,54,16.4,2024-07-17,0,0,0,0,0,0,2,1,5,0,6,27,34.848851,-106.714722
Bosque Farms,2024,7,4.8,0,1.6,3.2,54,16.4,2024-07-18,0,30,0,0,0,0,1,0,5,0,5,27,34.848851,-106.714722
Bosque Farms,2024,8,7.2,0,0,7.2,18.4,4.8,2024-08-22,1,0,0,0,0,0,0,3,8,0,35,27,34.848851,-106.714722
Bosque Farms,2025,5,0.4,0,0.4,0,38,16.4,2025-05-22,0,0,0,0,0,0,0,2,1,0,3,27,34.848851,-106.714722
Bosque Farms,2025,6,0.4,0,0,0.4,34,12.8,2025-06-18,0,0,0,0,0,0,0,1,0,0,1,27,34.848851,-106.714722
Bosque Farms,2025,7,3.6,0,1.6,2,30,12.4,2025-07-15,0,0,0,0,0,0,0,7,1,0,9,27,34.848851,-106.714722
Bosque School,2021,5,0.8,0.13333333333333333,0.4,0.4,9.333333333333334,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1457011,-106.6847985
Bosque School,2021,6,4.1,0,1.8,2.3,14.2,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1457011,-106.6847985
Bosque School,2021,7,1.6,0,0.4,1.2,26.4,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1457011,-106.6847985
Bosque School,2021,8,22.933333333333334,2.1333333333333333,7.733333333333333,15.2,10.666666666666666,14.533333333333333,2021-08-18,7,3,5,0,0,0,1,10,2,0,33,NA,35.1457011,-106.6847985
Bosque School,2021,8,22.933333333333334,2.1333333333333333,7.733333333333333,15.2,10.666666666666666,14.533333333333333,2021-08-27,53,0,0,1,1,0,0,6,2,1,29,NA,35.1457011,-106.6847985
Bosque del Apache,2018,5,0,0,0,0,16,NA,2018-05-16,0,0,0,0,6,13,8,16,5,0,3,33,33.8197,-106.8539
Bosque del Apache,2018,6,12,6,8,4,24,NA,2018-06-21,16,0,0,0,25,0,12,37,4,0,0,33,33.8197,-106.8539
Bosque del Apache,2018,7,100,0,100,0,24,NA,2018-07-17,2,65,7,1,6,0,10,6,6,0,0,33,33.8197,-106.8539
Bosque del Apache,2018,8,98,2,98,0,50,NA,2018-08-23,5,8,0,0,6,0,8,2,0,0,0,33,33.8197,-106.8539
Bosque del Apache,2019,5,6.4,0,6.4,0,32,NA,2019-05-22,0,0,0,0,0,0,1,3,2,0,0,33,33.8197,-106.8539
Bosque del Apache,2019,6,NA,NA,NA,NA,NA,NA,2019-06-20,0,0,0,0,0,0,0,0,0,0,0,33,33.8197,-106.8539
Bosque del Apache,2019,7,10,0.4,5.2,4.8,19,NA,2019-07-19,0,0,0,0,32,5,63,20,24,0,1,33,33.8197,-106.8539
Bosque del Apache,2019,8,9.2,1.2,6.8,2.4,9.8,NA,2019-08-19,0,0,0,0,19,0,61,51,8,0,0,33,33.8197,-106.8539
Bosque del Apache,2020,5,12.8,0,5.6,7.2,50,NA,2020-05-22,0,1,0,1,117,18,41,120,18,0,1,33,33.8197,-106.8539
Bosque del Apache,2020,6,37.2,0.8,36,1.2,52,NA,2020-06-19,0,0,0,0,60,2,41,347,6,0,0,33,33.8197,-106.8539
Bosque del Apache,2020,7,14.8,0,12.8,2,28,NA,2020-07-24,0,0,0,0,4,0,3,4,3,0,0,33,33.8197,-106.8539
Bosque del Apache,2020,8,12.8,14.4,10.8,2,24,NA,2020-08-21,5,6,0,0,9,0,4,7,3,0,0,33,33.8197,-106.8539
Bosque del Apache,2021,5,0,0,0,0,50,0,2021-05-20,2,0,0,0,3,11,5,1,0,2,1,33,33.8197,-106.8539
Bosque del Apache,2021,6,5.2,0,1.6,3.6,40,0.4,2021-06-18,0,0,0,0,1,0,3,2,3,0,0,33,33.8197,-106.8539
Bosque del Apache,2021,7,11.6,0,9.6,2,36,2,2021-07-23,2,33,154,0,1,0,0,2,3,0,1,33,33.8197,-106.8539
Bosque del Apache,2021,8,47.6,4.4,40.4,7.2,36,4.4,2021-08-20,16,0,0,0,1,4,0,9,1,0,0,33,33.8197,-106.8539
Bosque del Apache,2022,5,16,0,5.2,10.8,22,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2022,6,34.4,2.8,8.4,26,24,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2022,7,19.6,0,5.2,14.4,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2022,8,32.8,0,12.4,20.4,26,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2023,5,5.2,0,3.6,1.6,32,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2023,6,5.6,0,2,3.6,30,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2023,7,12,0.4,1.6,10.4,26,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2023,8,12.8,0.4,2,10.8,28,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2023,9,48,5.2,28,20,24,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2024,5,8.8,0,5.2,3.6,30,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2024,6,14.4,3.6,9.2,5.2,30,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2024,7,34,0.8,27.2,6.8,22,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2024,8,40,18,36.4,3.6,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2024,9,39.2,20,20.4,18.8,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2025,5,5.6,0,3.6,2,32,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2025,6,7.2,3.6,3.6,3.6,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2025,7,4,0,2,2,38,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2025,8,35.2,8.4,20.8,14.4,44,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Bosque del Apache,2025,9,65,4,30,35,22.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33.8197,-106.8539
Brazil,2017,6,14,0,6,8,NA,NA,2017-06-23,0,2,24,3,22,8,4,42,3,0,0,NA,34.43454,-106.43736
Brazil,2017,7,22,0,12,10,NA,NA,2017-07-21,14,18,20,7,17,0,5,70,2,0,0,NA,34.43454,-106.43736
Brazil,2017,8,22,0,12,10,NA,NA,2017-08-28,21,1,2,3,9,13,4,42,12,0,4,NA,34.43454,-106.43736
Calabacillas,2014,6,5,NA,NA,NA,NA,NA,2014-06-27,0,2,3,0,0,0,0,8,2,0,3,11,35.19056822,-106.6491626
Calabacillas,2014,7,4,5,NA,NA,NA,NA,2014-07-21,10,9,1,1,0,0,0,2,0,0,4,11,35.19056822,-106.6491626
Calabacillas,2014,8,23.4,NA,NA,NA,NA,NA,2014-08-12,3,23,20,3,0,0,0,13,2,0,8,11,35.19056822,-106.6491626
Calabacillas,2015,5,0,NA,NA,NA,NA,NA,2015-05-22,0,0,0,0,0,0,0,3,0,0,0,11,35.19056822,-106.6491626
Calabacillas,2015,6,0,NA,NA,NA,NA,NA,2015-06-18,0,2,0,0,0,0,0,10,1,0,4,11,35.19056822,-106.6491626
Calabacillas,2015,7,9.4,NA,NA,NA,NA,NA,2015-07-21,4,1,0,0,0,0,0,5,3,0,6,11,35.19056822,-106.6491626
Calabacillas,2015,8,15,NA,NA,NA,NA,NA,2015-08-20,0,4,1,1,0,0,0,32,1,0,22,11,35.19056822,-106.6491626
Calabacillas,2016,5,1,0,NA,NA,NA,NA,2016-05-23,0,0,0,0,1,0,0,2,0,0,11,11,35.19056822,-106.6491626
Calabacillas,2016,6,6,0,NA,NA,NA,NA,2016-06-22,0,0,0,0,0,0,0,10,5,0,1,11,35.19056822,-106.6491626
Calabacillas,2016,7,10,0,NA,NA,NA,NA,2016-07-22,0,0,0,0,0,0,0,7,3,0,5,11,35.19056822,-106.6491626
Calabacillas,2016,8,13,0,NA,NA,NA,NA,2016-08-17,0,0,0,0,0,0,0,29,4,0,7,11,35.19056822,-106.6491626
Calabacillas,2017,5,0,0,0,0,26,NA,2017-05-15,0,0,0,0,0,0,0,3,1,0,0,11,35.19056822,-106.6491626
Calabacillas,2017,6,16,0,8,8,NA,NA,2017-06-20,0,0,0,0,0,0,0,5,2,0,0,11,35.19056822,-106.6491626
Calabacillas,2017,7,22,0,12,10,NA,NA,2017-07-18,0,0,0,0,0,0,0,1,0,0,14,11,35.19056822,-106.6491626
Calabacillas,2017,8,24,0,8,16,NA,NA,2017-08-16,0,0,0,0,0,0,0,4,0,0,18,11,35.19056822,-106.6491626
Calabacillas,2018,5,0,2,0,0,36,NA,2018-05-15,1,0,0,0,0,0,0,1,1,0,10,11,35.19056822,-106.6491626
Calabacillas,2018,6,0,2,0,0,28,NA,2018-06-19,0,0,0,0,0,0,0,2,0,0,6,11,35.19056822,-106.6491626
Calabacillas,2018,7,0,0,0,0,15,NA,2018-07-19,0,0,0,0,0,0,0,5,0,0,6,11,35.19056822,-106.6491626
Calabacillas,2018,8,0,0,0,0,26,NA,2018-08-24,0,0,0,0,0,0,0,1,0,0,8,11,35.19056822,-106.6491626
Calabacillas,2019,5,0.4,6,0.4,0,50,NA,2019-05-22,0,0,0,0,0,3,0,3,0,0,1,11,35.19056822,-106.6491626
Calabacillas,2019,6,1.2,2,0,1.2,32,NA,2019-06-17,0,1,2,0,2,0,0,9,1,0,0,11,35.19056822,-106.6491626
Calabacillas,2019,7,0.8,0,0,0.8,18.8,NA,2019-07-18,0,0,0,0,0,0,0,20,0,0,0,11,35.19056822,-106.6491626
Calabacillas,2019,8,10.8,2,3.6,7.2,10.8,NA,2019-08-21,0,0,0,0,0,0,0,13,4,0,2,11,35.19056822,-106.6491626
Calabacillas,2020,5,0.4,16,0.4,0,16,NA,2020-05-22,0,0,0,0,0,0,0,0,2,0,31,11,35.19056822,-106.6491626
