Sample site,Date,Compound,Results (ng/L),Notes,Maximum residue limit (MRL) ,Data checked
Downstream SWRP,12/27/18,Triclosan,30,.,20,AW
Downstream SWRP,12/22/18,Trimethoprim,24,.,5,AW
Downstream N.Div,12/22/18,"1,7-Dimethylxanthine",6.7,.,5,AW
Downstream N.Div,12/27/18,Acesulfame-K,24,.,20,AW
Downstream N.Div,12/22/18,Amoxicillin,31,(semi-quantitative),20,AW
Downstream N.Div,12/22/18,Carbamazepine,9.9,.,5,AW
Downstream N.Div,12/22/18,Diltiazem,7,.,5,AW
Downstream N.Div,12/27/18,lohexol,41,.,10,AW
Downstream N.Div,12/27/18,lopromide,8.9,.,5,AW
Downstream N.Div,12/22/18,Lidocaine,22,.,5,AW
Downstream N.Div,12/22/18,Metformin,7.9,.,5,AW
Downstream N.Div,12/22/18,Quinoline,9.2,.,5,AW
Downstream N.Div,12/27/18,Sucralose,1400,.,100,AW
Downstream N.Div,12/22/18,Sulfamethoxazole,35,.,5,AW
Instream N. Div,12/22/18,"1,7-Dimethylxanthine",6.2,.,5,AW
Instream N. Div,12/27/18,24-D,140,.,5,AW
Instream N. Div,12/27/18,4-nonylphenol,400,(semi-quantitative),400,AW
Instream N. Div,12/27/18,Acesulfame-K,39,.,20,AW
Instream N. Div,12/27/18,BPA,53,.,10,AW
Instream N. Div,12/22/18,Caffeine,84,.,10,AW
Instream N. Div,12/22/18,Cotinine,33,.,10,AW
Instream N. Div,12/22/18,DEET,14,.,10,AW
Instream N. Div,12/22/18,Metformin,7.7,.,5,AW
Instream N. Div,12/22/18,Quinoline,21,.,5,AW
Instream N. Div,12/27/18,Salicylic Acid,880,(semi-quantitative),100,AW
Instream N. Div,12/27/18,Sucralose,820,.,100,AW
Instream N. Div,12/22/18,TCPP,110,.,100,AW
