"Year","Month","Site number","Site name","Precipitation canopy mm","Precipitation open mm","Monthly mean precipitation mm","Latitude","Longitude","Reaches","Season"
1997,12,1,"Alameda",12.7,20.3,16.5,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1997,12,2,"Rio Grande Nature Center",16.8,15.2,16,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1997,12,3,"Los Lunas",11.7,6.1,8.9,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1998,1,1,"Alameda",6.1,10.4,8.25,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1998,1,2,"Rio Grande Nature Center",10.7,12.7,11.7,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1998,1,3,"Los Lunas",13,15.5,14.25,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1998,2,1,"Alameda",8.9,12.7,10.8,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1998,2,2,"Rio Grande Nature Center",NA,NA,NA,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1998,2,3,"Los Lunas",10.2,16.5,13.35,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1998,2,4,"Belen",21.6,22.9,22.25,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
1998,3,1,"Alameda",31.8,40.6,36.2,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1998,3,2,"Rio Grande Nature Center",39.4,43.2,41.3,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1998,3,3,"Los Lunas",48.3,53.3,50.8,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1998,3,4,"Belen",38.1,38.1,38.1,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1998,4,1,"Alameda",5.3,7.6,6.45,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1998,4,2,"Rio Grande Nature Center",NA,NA,NA,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1998,4,3,"Los Lunas",5.1,8.9,7,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1998,4,4,"Belen",7.6,8.6,8.1,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1998,5,1,"Alameda",20.3,17.8,19.05,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1998,5,2,"Rio Grande Nature Center",17.3,17.8,17.55,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1998,5,3,"Los Lunas",4.6,7.4,6,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1998,5,4,"Belen",5.1,5.1,5.1,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1998,6,1,"Alameda",0.8,1.8,1.3,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1998,6,2,"Rio Grande Nature Center",1,1.5,1.25,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1998,6,3,"Los Lunas",4.6,6.4,5.5,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1998,6,4,"Belen",NA,8.4,8.4,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1998,7,1,"Alameda",15.2,20.3,17.75,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1998,7,2,"Rio Grande Nature Center",12.7,15.2,13.95,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1998,7,3,"Los Lunas",30.5,41.9,36.2,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1998,7,4,"Belen",40.6,44.7,42.65,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1998,8,1,"Alameda",3.8,7.6,5.7,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1998,8,2,"Rio Grande Nature Center",24.9,29.2,27.05,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1998,8,3,"Los Lunas",24.1,40.6,32.35,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1998,8,4,"Belen",10.2,13.7,11.95,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1998,9,1,"Alameda",4.8,5.6,5.2,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1998,9,2,"Rio Grande Nature Center",7.1,5.1,6.1,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1998,9,3,"Los Lunas",48.3,50.3,49.3,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1998,9,4,"Belen",3.8,5.6,4.7,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1998,10,1,"Alameda",18.3,22.9,20.6,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1998,10,2,"Rio Grande Nature Center",31.8,20.8,26.3,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1998,10,3,"Los Lunas",11.9,15.2,13.55,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1998,10,4,"Belen",9.7,12.2,10.95,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1998,11,1,"Alameda",24.6,38.1,31.35,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1998,11,2,"Rio Grande Nature Center",27.9,29.2,28.55,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1998,11,3,"Los Lunas",21.6,30.5,26.05,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1998,11,4,"Belen",21.3,25.4,23.35,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
1998,12,1,"Alameda",1.3,3,2.15,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1998,12,2,"Rio Grande Nature Center",6.9,7.6,7.25,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1998,12,3,"Los Lunas",7.6,12.7,10.15,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1998,12,4,"Belen",7.6,7.1,7.35,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
1999,1,1,"Alameda",0,0,0,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1999,1,2,"Rio Grande Nature Center",0,0,0,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1999,1,3,"Los Lunas",0,2.5,1.25,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1999,1,4,"Belen",0,0,0,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
1999,2,1,"Alameda",3,3.8,3.4,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1999,2,2,"Rio Grande Nature Center",3.3,3.3,3.3,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1999,2,3,"Los Lunas",2.5,3,2.75,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1999,2,4,"Belen",10.2,10.2,10.2,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
1999,3,1,"Alameda",7.6,9.1,8.35,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1999,3,2,"Rio Grande Nature Center",13,11.2,12.1,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1999,3,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1999,3,4,"Belen",NA,NA,NA,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1999,4,1,"Alameda",NA,NA,NA,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1999,4,2,"Rio Grande Nature Center",NA,NA,NA,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1999,4,3,"Los Lunas",12.7,15.2,13.95,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1999,4,4,"Belen",9.9,2.5,6.2,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1999,5,1,"Alameda",27.9,NA,27.9,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1999,5,2,"Rio Grande Nature Center",15.2,14.7,14.95,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1999,5,3,"Los Lunas",17.8,20.3,19.05,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1999,5,4,"Belen",NA,NA,NA,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1999,6,1,"Alameda",NA,NA,NA,35.1880598884,-106.646949118,"Angostura Reach","Spring"
1999,6,2,"Rio Grande Nature Center",4.6,4.8,4.7,35.1267624154,-106.688450012,"Angostura Reach","Spring"
1999,6,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
1999,6,4,"Belen",NA,NA,NA,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
1999,7,1,"Alameda",34.8,48.3,41.55,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1999,7,2,"Rio Grande Nature Center",27.9,34.3,31.1,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1999,7,3,"Los Lunas",NA,NA,NA,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1999,7,4,"Belen",25.4,29.2,27.3,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1999,8,1,"Alameda",88.9,108,98.45,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1999,8,2,"Rio Grande Nature Center",104.1,124.5,114.3,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1999,8,3,"Los Lunas",0.9,1.6,1.25,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1999,8,4,"Belen",95.3,95.3,95.3,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1999,8,5,"Santa Ana",74.9,88.9,81.9,35.34284,-106.5458,"Angostura Reach","Monsoon"
1999,9,1,"Alameda",1.3,4.6,2.95,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1999,9,2,"Rio Grande Nature Center",13.2,10.2,11.7,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1999,9,3,"Los Lunas",4.6,8.1,6.35,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1999,9,4,"Belen",10.2,14.7,12.45,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1999,9,5,"Santa Ana",3.8,10.2,7,35.34284,-106.5458,"Angostura Reach","Monsoon"
1999,10,1,"Alameda",7.1,10.4,8.75,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
1999,10,2,"Rio Grande Nature Center",15.5,16.3,15.9,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
1999,10,3,"Los Lunas",5.1,9.7,7.4,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
1999,10,4,"Belen",7.6,10.4,9,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
1999,10,5,"Santa Ana",5.1,6.1,5.6,35.34284,-106.5458,"Angostura Reach","Monsoon"
1999,11,1,"Alameda",0.3,0.3,0.3,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1999,11,2,"Rio Grande Nature Center",1,0.8,0.9,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1999,11,3,"Los Lunas",0,0,0,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1999,11,4,"Belen",3,3.8,3.4,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
1999,11,5,"Santa Ana",0,0,0,35.34284,-106.5458,"Angostura Reach","Winter"
1999,12,1,"Alameda",2.5,3.8,3.15,35.1880598884,-106.646949118,"Angostura Reach","Winter"
1999,12,2,"Rio Grande Nature Center",3.8,3.6,3.7,35.1267624154,-106.688450012,"Angostura Reach","Winter"
1999,12,3,"Los Lunas",12.7,20.3,16.5,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
1999,12,4,"Belen",5.1,10.2,7.65,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
1999,12,5,"Santa Ana",NA,NA,NA,35.34284,-106.5458,"Angostura Reach","Winter"
2000,1,1,"Alameda",0,0.3,0.15,35.1880598884,-106.646949118,"Angostura Reach","Winter"
2000,1,2,"Rio Grande Nature Center",3.6,3.6,3.6,35.1267624154,-106.688450012,"Angostura Reach","Winter"
2000,1,3,"Los Lunas",NA,3,3,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
2000,1,4,"Belen",1.8,2.8,2.3,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
2000,1,5,"Santa Ana",2.5,3.3,2.9,35.34284,-106.5458,"Angostura Reach","Winter"
2000,2,1,"Alameda",3.3,5.3,4.3,35.1880598884,-106.646949118,"Angostura Reach","Winter"
2000,2,2,"Rio Grande Nature Center",9.7,0,4.85,35.1267624154,-106.688450012,"Angostura Reach","Winter"
2000,2,3,"Los Lunas",3.8,4.8,4.3,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
2000,2,4,"Belen",4.3,4.8,4.55,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
2000,2,5,"Santa Ana",5.3,3.8,4.55,35.34284,-106.5458,"Angostura Reach","Winter"
2000,3,1,"Alameda",10.7,14.2,12.45,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2000,3,2,"Rio Grande Nature Center",13.7,NA,13.7,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2000,3,3,"Los Lunas",19.8,NA,19.8,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2000,3,4,"Belen",36.8,43.2,40,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2000,3,5,"Santa Ana",16.3,20.3,18.3,35.34284,-106.5458,"Angostura Reach","Spring"
2000,3,6,"Savannah",59.9,63,61.45,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2000,4,1,"Alameda",15.2,12.7,13.95,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2000,4,2,"Rio Grande Nature Center",NA,27.9,27.9,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2000,4,3,"Los Lunas",9.7,13.2,11.45,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2000,4,4,"Belen",10.7,6.1,8.4,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2000,4,5,"Santa Ana",7.6,12.2,9.9,35.34284,-106.5458,"Angostura Reach","Spring"
2000,4,6,"Savannah",17.5,24.9,21.2,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2000,5,1,"Alameda",0,0,0,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2000,5,2,"Rio Grande Nature Center",0,0,0,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2000,5,3,"Los Lunas",8.9,5.1,7,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2000,5,4,"Belen",NA,NA,NA,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2000,5,5,"Santa Ana",NA,NA,NA,35.34284,-106.5458,"Angostura Reach","Spring"
2000,5,6,"Savannah",0,0,0,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2000,6,1,"Alameda",7.1,7.1,7.1,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2000,6,2,"Rio Grande Nature Center",17.3,19.8,18.55,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2000,6,3,"Los Lunas",0,1,0.5,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2000,6,4,"Belen",27.9,34.3,31.1,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2000,6,5,"Santa Ana",6.1,2,4.05,35.34284,-106.5458,"Angostura Reach","Spring"
2000,6,6,"Savannah",16.5,21.6,19.05,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2000,7,1,"Alameda",7.6,7.9,7.75,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
2000,7,2,"Rio Grande Nature Center",NA,NA,NA,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
2000,7,3,"Los Lunas",15.2,33,24.1,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
2000,7,4,"Belen",12.7,15.2,13.95,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
2000,7,5,"Santa Ana",NA,NA,NA,35.34284,-106.5458,"Angostura Reach","Monsoon"
2000,7,6,"Savannah",16.5,17.5,17,35.1428674147,-106.681982289,"Angostura Reach","Monsoon"
2000,8,1,"Alameda",19.3,27.9,23.6,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
2000,8,2,"Rio Grande Nature Center",15.2,15.2,15.2,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
2000,8,3,"Los Lunas",7.9,12.4,10.15,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
2000,8,4,"Belen",15,21.1,18.05,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
2000,8,5,"Santa Ana",NA,1.8,1.8,35.34284,-106.5458,"Angostura Reach","Monsoon"
2000,8,6,"Savannah",0,5.1,2.55,35.1428674147,-106.681982289,"Angostura Reach","Monsoon"
2000,9,1,"Alameda",21.1,27.4,24.25,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
2000,9,2,"Rio Grande Nature Center",9.9,10.4,10.15,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
2000,9,3,"Los Lunas",12.4,19.1,15.75,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
2000,9,4,"Belen",13,19.1,16.05,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
2000,9,5,"Santa Ana",15.2,25.4,20.3,35.34284,-106.5458,"Angostura Reach","Monsoon"
2000,9,6,"Savannah",14.5,26.9,20.7,35.1428674147,-106.681982289,"Angostura Reach","Monsoon"
2000,9,7,"Lemitar",1.8,5.6,3.7,34.1670457032,-106.889953039,"San Acacia Reach","Monsoon"
2000,10,1,"Alameda",41.9,46,43.95,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
2000,10,2,"Rio Grande Nature Center",33,40.9,36.95,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
2000,10,3,"Los Lunas",37.1,45,41.05,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
2000,10,4,"Belen",50.8,57.2,54,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
2000,10,5,"Santa Ana",27.2,38.1,32.65,35.34284,-106.5458,"Angostura Reach","Monsoon"
2000,10,6,"Savannah",19.1,40.9,30,35.1428674147,-106.681982289,"Angostura Reach","Monsoon"
2000,10,7,"Lemitar",4.6,15.5,10.05,34.1670457032,-106.889953039,"San Acacia Reach","Monsoon"
2000,11,1,"Alameda",30.5,16.3,23.4,35.1880598884,-106.646949118,"Angostura Reach","Winter"
2000,11,2,"Rio Grande Nature Center",34.3,41.9,38.1,35.1267624154,-106.688450012,"Angostura Reach","Winter"
2000,11,3,"Los Lunas",25.9,41.9,33.9,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
2000,11,4,"Belen",38.1,50.8,44.45,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
2000,11,5,"Santa Ana",31.8,44.5,38.15,35.34284,-106.5458,"Angostura Reach","Winter"
2000,11,6,"Savannah",16.8,36.8,26.8,35.1428674147,-106.681982289,"Angostura Reach","Winter"
2000,11,7,"Lemitar",16.5,34,25.25,34.1670457032,-106.889953039,"San Acacia Reach","Winter"
2000,12,1,"Alameda",12.7,12.7,12.7,35.1880598884,-106.646949118,"Angostura Reach","Winter"
2000,12,2,"Rio Grande Nature Center",15.5,18,16.75,35.1267624154,-106.688450012,"Angostura Reach","Winter"
2000,12,3,"Los Lunas",7.9,14.5,11.2,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
2000,12,4,"Belen",15.2,15.2,15.2,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
2000,12,5,"Santa Ana",12.7,15.2,13.95,35.34284,-106.5458,"Angostura Reach","Winter"
2000,12,6,"Savannah",22.9,10.7,16.8,35.1428674147,-106.681982289,"Angostura Reach","Winter"
2000,12,7,"Lemitar",7.1,8.9,8,34.1670457032,-106.889953039,"San Acacia Reach","Winter"
2001,1,1,"Alameda",8,11,9.5,35.1880598884,-106.646949118,"Angostura Reach","Winter"
2001,1,2,"Rio Grande Nature Center",11.2,11.5,11.35,35.1267624154,-106.688450012,"Angostura Reach","Winter"
2001,1,3,"Los Lunas",7,12.5,9.75,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
2001,1,4,"Belen",22.5,22.5,22.5,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
2001,1,5,"Santa Ana",4,10,7,35.34284,-106.5458,"Angostura Reach","Winter"
2001,1,6,"Savannah",10,8.5,9.25,35.1428674147,-106.681982289,"Angostura Reach","Winter"
2001,1,7,"Lemitar",NA,NA,NA,34.1670457032,-106.889953039,"San Acacia Reach","Winter"
2001,2,1,"Alameda",5,4.8,4.9,35.1880598884,-106.646949118,"Angostura Reach","Winter"
2001,2,2,"Rio Grande Nature Center",8.6,6.2,7.4,35.1267624154,-106.688450012,"Angostura Reach","Winter"
2001,2,3,"Los Lunas",17.7,21,19.35,34.8123850767529,-106.714471968474,"Isleta Reach","Winter"
2001,2,4,"Belen",19,1.5,10.25,34.6481124155284,-106.737727748983,"Isleta Reach","Winter"
2001,2,5,"Santa Ana",11.7,12.7,12.2,35.34284,-106.5458,"Angostura Reach","Winter"
2001,2,6,"Savannah",6,8.5,7.25,35.1428674147,-106.681982289,"Angostura Reach","Winter"
2001,2,7,"Lemitar",16.5,11.2,13.85,34.1670457032,-106.889953039,"San Acacia Reach","Winter"
2001,3,1,"Alameda",14,16.5,15.25,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2001,3,2,"Rio Grande Nature Center",13.2,14.7,13.95,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2001,3,3,"Los Lunas",8,20.5,14.25,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2001,3,4,"Belen",42,20,31,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2001,3,5,"Santa Ana",NA,NA,NA,35.34284,-106.5458,"Angostura Reach","Spring"
2001,3,6,"Savannah",7.5,12,9.75,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2001,3,7,"Lemitar",24,34,29,34.1670457032,-106.889953039,"San Acacia Reach","Spring"
2001,4,1,"Alameda",4,1.6,2.8,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2001,4,2,"Rio Grande Nature Center",4.4,5.8,5.1,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2001,4,3,"Los Lunas",1.8,3.4,2.6,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2001,4,4,"Belen",NA,NA,NA,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2001,4,5,"Santa Ana",3.8,7.6,5.7,35.34284,-106.5458,"Angostura Reach","Spring"
2001,4,6,"Savannah",4.3,0.5,2.4,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2001,4,7,"Lemitar",0.2,0.5,0.35,34.1670457032,-106.889953039,"San Acacia Reach","Spring"
2001,5,1,"Alameda",NA,NA,NA,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2001,5,2,"Rio Grande Nature Center",4.2,6.4,5.3,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2001,5,3,"Los Lunas",1,1,1,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2001,5,4,"Belen",2.5,4,3.25,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2001,5,5,"Santa Ana",2.5,5,3.75,35.34284,-106.5458,"Angostura Reach","Spring"
2001,5,6,"Savannah",5,10,7.5,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2001,5,7,"Lemitar",0.5,2,1.25,34.1670457032,-106.889953039,"San Acacia Reach","Spring"
2001,6,1,"Alameda",1,3.8,2.4,35.1880598884,-106.646949118,"Angostura Reach","Spring"
2001,6,2,"Rio Grande Nature Center",1,3.3,2.15,35.1267624154,-106.688450012,"Angostura Reach","Spring"
2001,6,3,"Los Lunas",0,2,1,34.8123850767529,-106.714471968474,"Isleta Reach","Spring"
2001,6,4,"Belen",1.1,3.2,2.15,34.6481124155284,-106.737727748983,"Isleta Reach","Spring"
2001,6,5,"Santa Ana",15,23,19,35.34284,-106.5458,"Angostura Reach","Spring"
2001,6,6,"Savannah",1.4,1.8,1.6,35.1428674147,-106.681982289,"Angostura Reach","Spring"
2001,6,7,"Lemitar",0.6,3,1.8,34.1670457032,-106.889953039,"San Acacia Reach","Spring"
2001,7,1,"Alameda",9,17,13,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
2001,7,2,"Rio Grande Nature Center",8.6,14,11.3,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
2001,7,3,"Los Lunas",9,17.5,13.25,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
2001,7,4,"Belen",7,22,14.5,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
2001,7,5,"Santa Ana",NA,NA,NA,35.34284,-106.5458,"Angostura Reach","Monsoon"
2001,7,6,"Savannah",6,11.5,8.75,35.1428674147,-106.681982289,"Angostura Reach","Monsoon"
2001,7,7,"Lemitar",9.4,12.5,10.95,34.1670457032,-106.889953039,"San Acacia Reach","Monsoon"
2001,8,1,"Alameda",19,34,26.5,35.1880598884,-106.646949118,"Angostura Reach","Monsoon"
2001,8,2,"Rio Grande Nature Center",18.5,34.8,26.65,35.1267624154,-106.688450012,"Angostura Reach","Monsoon"
2001,8,3,"Los Lunas",10,25,17.5,34.8123850767529,-106.714471968474,"Isleta Reach","Monsoon"
2001,8,4,"Belen",10,19,14.5,34.6481124155284,-106.737727748983,"Isleta Reach","Monsoon"
2001,8,5,"Santa Ana",67,72.4,69.7,35.34284,-106.5458,"Angostura Reach","Monsoon"
2001,8,6,"Savannah",11,35,23,35.1428674147,-106.681982289,"Angostura Reach","Monsoon"
