DATABASE NAME	CLASS	ORDER	FAMILY	GENUS	CODE	NAMECODE	CLASS	ORDER	FAMILY 	GENUS/SPECIES	COMMON NAME	NOTES	Found in Pitfall Dataset?
Cryptophagidae	1	02	08	00	1020800	INCOCRY	Insecta	Coleoptera	Cryptophagidae		Silken fungus beetles		Yes
Cryptophagus sp.	1	02	08	01	1020801	COCRYCRY	Insecta	Coleoptera	Cryptophagidae	Cryptophagus sp.			Yes
Chrysomelidae	1	02	09	00	1020900	INCOCHR	Insecta	Coleoptera	Chrysomelidae		Leaf beetles		Yes
Eumolpinae	1	02	09	01	1020901	COCHREUM	Insecta	Coleoptera	Chrysomelidae	Eumolpinae (subfamily)			
Alicta sp.	1	02	09	03	1020903	COCHRALI	Insecta	Coleoptera	Chrysomelidae	Alicta sp.			
Chrysomela scripta	1	02	09	04	1020904	CHCHRSCR	Insecta	Coleoptera	Chrysomelidae	Chrysomela scripta	Cottonwood leaf beetle		Yes
Graphops sp.	1	02	09	05	1020905	COCHRGRA	Insecta	Coleoptera	Chrysomelidae	Graphops sp.			
Diorhabda elongata	1	02	09	06	1020906	CHDIOELO	Insecta	Coleoptera	Chrysomelidae	Diorhabda elongata	Tamarisk leaf beetle		Yes
Diorhabda sp.	1	02	09	07	1020907	INCHRDIO	Insecta	Coleoptera	Chrysomelidae	Diorhabda sp.	Tamarisk leaf beetle	Several species present in New Mexico that are difficult to distinguish without genetic markers, use this code preferentially.	Yes
Lathridiidae	1	02	10	00	1021000	INCOLAT	Insecta	Coleoptera	Lathridiidae				
Melanophthalma sp.	1	02	10	01	1021001	COLATMEL	Insecta	Coleoptera	Lathridiidae	Melanophthalma sp.			
Enicmus sp.	1	02	10	02	1021002	COLATENI	Insecta	Coleoptera	Lathridiidae	Enicmus sp.			
Corticaria sp.	1	02	10	03	1021003	COLATCOR	Insecta	Coleoptera	Lathridiidae	Corticaria sp.			
Meloidae	1	02	11	00	1021100	INCOMELO	Insecta	Coleoptera	Meloidae		Blister beetles		Yes
Staphylinidae	1	02	17	00	1021700	INCOSTA	Insecta	Coleoptera	Staphylinidae		Rove beetles		Yes
Staphylinus sp.	1	02	17	01	1021701	COSTASTA	Insecta	Coleoptera	Staphylinidae	Staphylinus sp.			
Aleocharinae sp.	1	02	17	02	1021702	COSTAALE	Insecta	Coleoptera	Staphylinidae	Aleocharinae sp.			
Platydracus sp.	1	02	17	03	1021703	STPLA	Insecta	Coleoptera	Staphylinidae	Platydracus sp.			Yes
Olisthaerus sp.	1	02	17	04	1021704	COSTAOLI	Insecta	Coleoptera	Staphylinidae	Olisthaerus sp.			
Trichophyini sp.	1	02	17	06	1021706	COSTATRI	Insecta	Coleoptera	Staphylinidae	Trichophyini sp.			
Tachyporus sp.	1	02	17	07	1021707	COSTATAC	Insecta	Coleoptera	Staphylinidae	Tachyporus sp.			
Paederinae sp.	1	02	17	09	1021709	COSTAPAN	Insecta	Coleoptera	Staphylinidae	Paederinae sp.			
Quedius sp.	1	02	17	10	1021710	COSTAQUE	Insecta	Coleoptera	Staphylinidae	Quedius sp.			
Platydracus sepulchralis	1	02	17	11	1021711	STPLASEP	Insecta	Coleoptera	Staphylinidae	Platydracus sepulchralis			
Astenus longiusculus	1	02	17	12	1021712	STASTLON	Insecta	Coleoptera	Staphylinidae	Astenus longiusculus  			
Ocypus ater	1	02	17	13	1021713	STOCYATE	Insecta	Coleoptera	Staphylinidae	Ocypus ater	formerly genus Staphylinus		
Paederini sp.	1	02	17	14	1021714	COSTAPAE	Insecta	Coleoptera	Staphylinidae	Paederini sp.			
Platydracus pennsylvanicus	1	02	17	15	1021715	STPLAPEN	Insecta	Coleoptera	Staphylinidae	Platydracus pennsylvanicus			
Coccinellidae	1	02	22	00	1022200	INCOCOC	Insecta	Coleoptera	Coccinellidae		Ladybird beetles		Yes
Coccidulini sp.	1	02	22	02	1022202	COCOCCOC	Insecta	Coleoptera	Coccinellidae	Coccidulini sp.			
Histeridae	1	02	30	00	1023000	INCOHIS	Insecta	Coleoptera	Histeridae		Clown / Hister beetles		Yes
Euspilotus sp.	1	02	30	01	1023001	HIEUS	Insecta	Coleoptera	Histeridae	Euspilotus sp.		No records in NM but ML says this is believable; have any further observations confirmed by a reliable party 	Yes
Geomysaprinus sp.	1	02	30	02	1023002	COHISGEO	Insecta	Coleoptera	Histeridae	Geomysaprinus sp.			
Aphelosternus sp.	1	02	30	03	1023003	COHISAPH	Insecta	Coleoptera	Histeridae	Aphelosternus sp.			
Hypocaccus sp.	1	02	30	04	1023004	COHISHYP	Insecta	Coleoptera	Histeridae	Hypocaccus sp.			
Curculionidae	1	02	31	00	1023100	INCOCUR	Insecta	Coleoptera	Curculionidae		True weevils		Yes
Otiorhynchus ovatus	1	02	31	01	1023101	CUOTIOVA	Insecta	Coleoptera	Curculionidae	Otiorhynchus ovatus 	Strawberry root weevil		Yes
Rhypodillus brevicollis	1	02	31	02	1023102	CUPHYBRE	Insecta	Coleoptera	Curculionidae	Rhypodillus brevicollis  			
Sphenophorus sp.	1	02	31	03	1023103	COCURSPH	Insecta	Coleoptera	Curculionidae	Sphenophorus sp.			
Stenichnus sp.	1	02	31	04	1023104	COCURSTE	Insecta	Coleoptera	Curculionidae	Stenichnus  sp.			
Otiorhynchus cercopeus	1	02	31	05	1023105	CUOTICER	Insecta	Coleoptera	Curculionidae	Otiorhynchus cercopeus  			
Hypera postica	1	02	31	06	1023106	CUHYPPOS	Insecta	Coleoptera	Curculionidae	Hypera postica  			
Scolytus sp.	1	02	31	07	1023107	COCUSCO	Insecta	Coleoptera	Curculionidae	Scolytus sp.		Originally called "Rugostmiatus" in the database but this is not a valid genus. "Ruguloscolytus" was the closest match in Curculionidae that I found; this genus was folded into "Scolytus" recently. -RC	Yes
Coniatus splendidulus	1	02	31	08	1023108	CUCONSPL	Insecta	Coleoptera	Curculionidae	Coniatus splendidulus	Splendid tamarisk weevil		Yes
Ptilidae	1	02	33	00	1023300	INCOPTI	Insecta	Coleoptera	Ptilidae				
Silphidae	1	02	35	00	1023500	INCOSIL	Insecta	Coleoptera	Silphidae		Carrion beetles		Yes
Nicrophorus sp.	1	02	35	01	1023501	COSILNIC	Insecta	Coleoptera	Silphidae	Nicrophorus sp.	Burying beetle (genus)		Yes
Heterosilpha ramosa	1	02	35	02	1023502	SIHETRAM	Insecta	Coleoptera	Silphidae	Heterosilpha ramosa	Carrion beetle		Yes
Anthicidae	1	02	41	00	1024100	INCOANT	Insecta	Coleoptera	Anthicidae 		Ant-like flower beetles		Yes
Ischyropalpus sp.	1	02	41	02	1024102	COANTISC	Insecta	Coleoptera	Anthicidae 	Ischyropalpus sp.			
Baulius sp.	1	02	41	03	1024103	COANTBAU	Insecta	Coleoptera	Anthicidae 	Baulius			
Baulius tenuis	1	02	41	04	1024104	ANBAUTEN	Insecta	Coleoptera	Anthicidae 	Baulius tenuis  		Flagged, Matt will check for possible voucher; ask KDE	Yes
Notoxus sp.	1	02	41	05	1024105	INCONOTO	Insecta	Coleoptera	Anthicidae 	Notoxus			Yes
Tenebrionidae	1	02	46	00	1024600	COTEN	Insecta	Coleoptera	Tenebrionidae		Darkling beetles		Yes
Eleodes sp.	1	02	46	01	1024601	TEELE	Insecta	Coleoptera	Tenebrionidae	Eleodes sp.	Darkling beetle (genus)		Yes
Eleodes suturalis	1	02	46	07	1024607	TEELESUT	Insecta	Coleoptera	Tenebrionidae	Eleodes suturalis  	Red-lined darkling beetle		Yes
Eleodes fusiformis	1	02	46	10	1024610	TEELEFUS	Insecta	Coleoptera	Tenebrionidae	Eleodes fusiformis  			Yes
Eleodes gracilis	1	02	46	38	1024638	TEELEGRA	Insecta	Coleoptera	Tenebrionidae	Eleodes gracilis  			Yes
Eleodes obsoletus	1	02	46	39	1024639	TEELEOBS	Insecta	Coleoptera	Tenebrionidae	Eleodes obsoletus  	Obsolete darkling beetle		Yes
Eleodes extricatus	1	02	46	41	1024641	TEELEEXT	Insecta	Coleoptera	Tenebrionidae	Eleodes extricatus  			Yes
Eleodes longicollis	1	02	46	42	1024642	TEELELON	Insecta	Coleoptera	Tenebrionidae	Eleodes longicollis  			Yes
Eleodes sponsus	1	02	46	43	1024643	TEELESPO	Insecta	Coleoptera	Tenebrionidae	Eleodes sponsus  			Yes
Metoponium sp.	1	02	46	44	1024644	TEMET	Insecta	Coleoptera	Tenebrionidae	Metoponium sp.			Yes
Asidopsis opaca	1	02	46	45	1024645	TEASIOPA	Insecta	Coleoptera	Tenebrionidae	Asidopsis opaca  			Yes
Blapstinus sp.	1	02	46	46	1024646	TEBLA	Insecta	Coleoptera	Tenebrionidae	Blapstinus sp.			Yes
Embaphion sp.	1	02	46	47	1024647	TEEMB	Insecta	Coleoptera	Tenebrionidae	Embaphion sp.	Darkling beetle (genus)		Yes
Blapstinus fortis	1	02	46	48	1024648	TEBLAFOR	Insecta	Coleoptera	Tenebrionidae	Blapstinus fortis			Yes
Araeoschizus decipiens	1	02	46	49	1024649	TEAREDEC	Insecta	Coleoptera	Tenebrionidae	Araeoschizus decipiens  			Yes
Blapstinus pimalis	1	02	46	50	1024650	TEBLAPIM	Insecta	Coleoptera	Tenebrionidae	Blapstinus pimalis  			Yes
Embaphion contusum	1	02	46	51	1024651	TEEMBCON	Insecta	Coleoptera	Tenebrionidae	Embaphion contusum  	Flanged darkling beetle		Yes
Agroporis rufipes	1	02	46	52	1024652	TEAGRRUF	Insecta	Coleoptera	Tenebrionidae	Agroporis rufipes  			
Lobometopon fusiformis	1	02	46	53	1024653	TELOBFUS	Insecta	Coleoptera	Tenebrionidae	Lobometopon fusiformis			Yes
Eusattus sp.	1	02	46	54	1024654	TEEUS	Insecta	Coleoptera	Tenebrionidae	Eusattus sp.	Darkling beetle (genus)		Yes
Eleodes tricostatus	1	02	46	55	1024655	TEELETRI	Insecta	Coleoptera	Tenebrionidae	Eleodes tricostatus			Yes
Neobaphion planipennis	1	02	46	56	1024656	TENEOPLA	Insecta	Coleoptera	Tenebrionidae	Neobaphion planipennis			Yes
Eusattus reticulatus	1	02	46	57	1024657	TEEUSRET	Insecta	Coleoptera	Tenebrionidae	Eusattus reticulatus	Sand darkling beetle		Yes
Eleodes caudiferus	1	02	46	58	1024658	TEELECAU	Insecta	Coleoptera	Tenebrionidae	Eleodes caudiferus	Tailed darkling beetle		Yes
Lobometopon sp.	1	02	46	59	1024659	INCOLOBO	Insecta	Coleoptera	Tenebrionidae	Lobometopon 			Yes
Araeoschizus sp.	1	02	46	60	1024660	INCOARES	Insecta	Coleoptera	Tenebrionidae	Araeoschizus			Yes
Alleculinae	1	02	46	61	1024661	COTENALL	Insecta	Coleoptera	Tenebrionidae	Alleculinae (subfamily)	Comb-clawed darkling beetles		Yes
Pimeliinae	1	02	46	62	1024662	COTENPIM	Insecta	Coleoptera	Tenebrionidae	Pimeliinae (subfamily)		Unusual finding- only 1 record in the US, in California	Yes
Corylophidae	1	02	47	00	1024700	INCOCOR	Insecta	Coleoptera	Corylophidae				
Scaphidiinae	1	02	48	00	1024800	INCOSCP	Insecta	Coleoptera	Staphylinidae	Scaphidiinae (subfamily)	Shining fungus beetles		Yes
Biphyllidae	1	02	49	00	1024900	INCOBIP	Insecta	Coleoptera	Biphyllidae		False skin beetles	Only 1 questionable ID in database that was downgraded to Coleoptera b/c this family has not been confirmed in NM; ID number left in case of future finds.	Yes
Anobiidae	1	02	50	00	1025000	INCOANO	Insecta	Coleoptera	Anobiidae		formerly Ptinidae		
Ptinus fur	1	02	50	01	1025001	ANPTIFUR	Insecta	Coleoptera	Anobiidae	Ptinus fur  			
Bruchinae	1	02	51	00	1205100	INCOBRU	Insecta	Coleoptera	Chrysomelidae	Bruchinae (subfamily)	Bean weevils		Yes
Carabidae	1	02	55	00	1025500	INCOCAR	Insecta	Coleoptera	Carabidae		Ground beetles		Yes
Scarites sp.	1	02	55	01	1025501	CASCA	Insecta	Coleoptera	Carabidae	Scarites sp.			Yes
Poecilus chalcites	1	02	55	02	1025502	CAPOECHA	Insecta	Coleoptera	Carabidae	Poecilus chalcites	Metallic ground beetle		Yes
Calathus opaculus	1	02	55	03	1025503	CACALOPA	Insecta	Coleoptera	Carabidae	Calathus opaculus	serrated claw; small black beetle		Yes
Chlaenius sp.	1	02	55	04	1025504	COCARCHA	Insecta	Coleoptera	Carabidae	Chlaenius			Yes
Amara sp.	1	02	55	05	1025505	CAAMA	Insecta	Coleoptera	Carabidae	Amara			Yes
Carabid larva	1	02	55	06	1025506	CALAR	Insecta	Coleoptera	Carabidae		Ground beetle larva		Yes
Stenolophus sp.	1	02	55	07	1025507	CASTE	Insecta	Coleoptera	Carabidae	Stenolophus			Yes
Harpalus pennsylvanicus	1	02	55	08	1025508	CAHARPEN	Insecta	Coleoptera	Carabidae	Harpalus pennsylvanicus  	Harpalus ground beetle		Yes
Selenophorus planipennis	1	02	55	09	1025509	CASELPLA	Insecta	Coleoptera	Carabidae	Selenophorus planipennis  			
Amara littoralis	1	02	55	10	1025510	CAAMALIT	Insecta	Coleoptera	Carabidae	Amara littoralis  			
Scarites lissopterus	1	02	55	11	1025511	CASCALIS	Insecta	Coleoptera	Carabidae	Scarites lissopterus 		Unusual finding- if this species is found again, have it confirmed by an outside party as S. subterraneus is currently the only known NM species	Yes
Evarthrus sp.	1	02	55	12	1025512	COCAREVA	Insecta	Coleoptera	Carabidae	Subgenus Evarthrus (of Cyclotrachelus)			
Amara carinata	1	02	55	13	1025513	CAAMACAR	Insecta	Coleoptera	Carabidae	Amara carinata  			Yes
Agonum sp.	1	02	55	15	1025515	CAAGO	Insecta	Coleoptera	Carabidae	Agonum sp.			Yes
Chlaenius tricolor	1	02	55	16	1025516	CACHATRI	Insecta	Coleoptera	Carabidae	Chlaenius tricolor  			Yes
Agonum decorum	1	02	55	17	1025517	CAAGODEC	Insecta	Coleoptera	Carabidae	Agonum decorum  			Yes
Tachys sp.	1	02	55	18	1025518	CATAC	Insecta	Coleoptera	Carabidae	Tachys sp.			Yes
Chlaenius sericeus	1	02	55	19	1025519	CACHASER	Insecta	Coleoptera	Carabidae	Chlaenius sericeus  			Yes
Pterostichus sp.	1	02	55	20	1025520	CAPTE	Insecta	Coleoptera	Carabidae	Pterostichus sp.			Yes
Bradycellus sp.	1	02	55	21	1025521	CABRA	Insecta	Coleoptera	Carabidae	Bradycellus sp.			Yes
Bembidion timidum	1	02	55	22	1025522	CABEMTIM	Insecta	Coleoptera	Carabidae	Bembidion timidum  			Yes
Bembidion sp.	1	02	55	23	1025523	CABEM	Insecta	Coleoptera	Carabidae	Bembidion	Shoreline ground beetle (genus)		Yes
Badister sp.	1	02	55	24	1025524	COCARBAD	Insecta	Coleoptera	Carabidae	Badister sp.			
Perigonini sp.	1	02	55	25	1025525	COCARPER	Insecta	Coleoptera	Carabidae	Perigonini sp.			
Galerita janus	1	02	55	26	1025526	CAGALJAN	Insecta	Coleoptera	Carabidae	Galerita janus  	Galerita ground beetle		Yes
Cyclotrachelus substriatus	1	02	55	27	1025527	CACYCSUB	Insecta	Coleoptera	Carabidae	Cyclotrachelus substriatus			Yes
Poecilus sp.	1	02	55	28	1025528	CAPOE	Insecta	Coleoptera	Carabidae	Poecilus sp.			Yes
Rhadine sp.	1	02	55	29	1025529	CARHA	Insecta	Coleoptera	Carabidae	Rhadine sp.			Yes
Harpalus sp.	1	02	55	30	1025530	CAHAR	Insecta	Coleoptera	Carabidae	Harpalus sp.			Yes
Pasimachus elongatus	1	02	55	31	1025531	CAPASELA	Insecta	Coleoptera	Carabidae	Pasimachus elongatus			Yes
Anisodactylus harrisi	1	02	55	32	1025532	CAANIHAR	Insecta	Coleoptera	Carabidae	Anisodactylus harrisi			Yes
Cratacanthus sp.	1	02	55	34	1025534	CACAR	Insecta	Coleoptera	Carabidae	Cratacanthus sp.			Yes
Euryderus sp.	1	02	55	35	1025535	CAEUR	Insecta	Coleoptera	Carabidae	Euryderus sp.			Yes
Selenophorus sp.	1	02	55	36	1025536	COCARSEL	Insecta	Coleoptera	Carabidae	Selenophorus sp.			Yes
Calosoma scrutator	1	02	55	37	1025537	CACALSCR	Insecta	Coleoptera	Carabidae	Calosoma scrutator	Fiery searcher ground beetle		Yes
Pasimachus californicus	1	02	55	38	1025538	CAPASCAL	Insecta	Coleoptera	Carabidae	Pasimachus californicus	California warrior beetle		Yes
Poecilus lucublandus	1	02	55	39	1025539	CAPOELUC	Insecta	Coleoptera	Carabidae	Poecilus lucublandus			Yes
Tetragonoderus sp.	1	02	55	40	1025540	CATET	Insecta	Coleoptera	Carabidae	Tetragonoderus sp.			Yes
Cyclotrachelus sp.	1	02	55	41	1025541	CACYC	Insecta	Coleoptera	Carabidae	Cyclotrachelus sp.			Yes
Cymindis sp.	1	02	55	42	1025542	CACYM	Insecta	Coleoptera	Carabidae	Cymindis sp.			Yes
Pasimachus sp.	1	02	55	43	1025543	CAPAS	Insecta	Coleoptera	Carabidae	Pasimachus sp.	Pasimachus ground beetle (genus)		Yes
Calosoma peregrinator	1	02	55	44	1025544	CACALPER	Insecta	Coleoptera	Carabidae	Calosoma peregrinator			Yes
Harpalus caliginosus	1	02	55	45	1025545	HARCAL	Insecta	Coleoptera	Carabidae	Harpalus caliginosus	Murky ground beetle		Yes
Scarites subterraneus	1	02	55	46	1025546	SCASUB	Insecta	Coleoptera	Carabidae	Scarites subterraneus	Big-headed ground beetle		Yes
Calosoma sp.	1	02	55	47	1025547	INCACAL	Insecta	Coleoptera	Carabidae	Calosoma			Yes
Dytiscidae	1	02	60	00	1026000	INCODYT	Insecta	Coleoptera	Dytiscidae				
Laccophilus sp.	1	02	60	02	1026002	CODYTLAC	Insecta	Coleoptera	Dytiscidae	Laccophilus sp.			
Cucujidae	1	02	75	00	1027500	INCOCUC	Insecta	Coleoptera	Cucujidae				
Cathartus sp.	1	02	75	01	1027501	COCUCCAT	Insecta	Coleoptera	Cucujidae	Cathartus sp.			
Cerambycidae	1	02	80	00	1028000	INCOCER	Insecta	Coleoptera	Cerambycidae		Longhorn beetles		Yes
Prionus sp.	1	02	80	02	1028002	COCERPRI	Insecta	Coleoptera	Cerambycidae	Prionus sp.			
Limulodidae	1	02	85	00	1028500	INCOLIM	Insecta	Coleoptera	Limulodidae				
Limulodes sp.	1	02	85	01	1028501	COLIMLIM	Insecta	Coleoptera	Limulodidae	Limulodes sp.			
Buprestidae	1	02	94	00	1029400	INCOBUP	Insecta	Coleoptera	Buprestidae		Metallic wood-boring beetles		Yes
Cicindelinae	1	02	95	00	1029500	INCOCIC	Insecta	Coleoptera	Cicindelidae	Cicindelinae (subfamily)	Tiger beetles		Yes
Cicindela sp.	1	02	95	01	1029501	INCICCIC	Insecta	Coleoptera	Cicindelidae	Cicindela	Tiger beetle (genus)		Yes
Trogidae	1	02	96	00	1029600	INCOTRG	Insecta	Coleoptera	Trogidae		Hide beetles		Yes
Trox punctatus	1	02	96	01	1029601	TRTROPUN	Insecta	Coleoptera	Trogidae	Trox punctatus	formerly 1020401		
Trox monachus	1	02	96	02	1029602	TROTROMO	Insecta	Coleoptera	Trogidae	Trox monachus	formerly 1020407		
Trox sp.	1	02	96	03	1029603	COTROTRO	Insecta	Coleoptera	Trogidae	Trox sp./Omorgus sp.			Yes
Cleridae	1	02	98	00	1029800	INCOCLE	Insecta	Coleoptera	Cleridae		Checkered beetles		Yes
Eucnemidae	1	02	99	00	1029900	INCOEUC	Insecta	Coleoptera	Eucnemidae				
Isoptera	1	03	00	00	1030000	INIS	Insecta	Isoptera			Termites		Yes
Rhinotermitidae	1	03	01	00	1030100	INISRHI	Insecta	Isoptera	Rhinotermitidae				
Reticulitermes sp.	1	03	01	01	1030101	ISRHIRET	Insecta	Isoptera	Rhinotermitidae	Reticulitermes sp.			
Termitidae	1	03	02	00	1030200	INISTER	Insecta	Isoptera	Termitidae				
Collembola	1	04	00	00	1040000	INCL	Insecta	Collembola			Springtails		Yes
Diptera	1	06	00	00	1060000	INDI	Insecta	Diptera			True flies		Yes
Diptera larva	1	06	00	01	1060001	INDILAR	Insecta	Diptera			True fly larva		Yes
Cecidomyiidae	1	06	01	00	1060100	INDICEC	Insecta	Diptera	Cecidomyiidae				
Sphaeroceridae	1	06	02	00	1060200	INDISPH	Insecta	Diptera	Sphaeroceridae				
Chironomidae	1	06	03	00	1060300	INDICHI	Insecta	Diptera	Chironomidae		Non-biting midges		Yes
Culicidae	1	06	04	00	1060400	INDICUL	Insecta	Diptera	Culicidae		Mosquitoes		Yes
Sciaridae	1	06	05	00	1060500	INDISCI	Insecta	Diptera	Sciaridae		Dark-winged fungus gnats		Yes
Tachinidae	1	06	06	00	1060600	INDITAC	Insecta	Diptera	Tachinidae		Tachinid flies		Yes
Drosophilidae	1	06	07	00	1060700	INDIDRO	Insecta	Diptera	Drosophilidae				
Drosophila sp.	1	06	07	01	1060701	DIDRODRO	Insecta	Diptera	Drosophilidae	Drosophila sp.	Vinegar flies (genus)		Yes
Sarcophagidae	1	06	08	00	1060800	INDISAR	Insecta	Diptera	Sarcophagidae		Flesh-eating flies		Yes
Thysanoptera	1	08	00	00	1080000	INTT	Insecta	Thysanoptera					Yes
Phlaeothripidae	1	08	01	00	1080100	INTTPHYL	Insecta	Thysanoptera	Phlaeothripidae				Yes
Lepidoptera	1	09	00	00	1090000	INLE	Insecta	Lepidoptera			Butterflies and moths		Yes
Lepidoptera larva	1	09	00	01	1090001	LELEPLAR	Insecta	Lepidoptera		Lepidoptera larvae	Butterfly/moth larva		Yes
Noctuidae	1	09	01	00	1090100	INLENOC	Insecta	Lepidoptera	Noctuidae		Owlet moths		Yes
Noctuidae larva	1	09	01	01	1090101	LENOCLAR	Insecta	Lepidoptera	Noctuidae	Noctuidae larvae	Owlet moth larva		Yes
Acanthopteroctetidae	1	09	02	00	1090200	INLEACA	Insecta	Lepidoptera	Acanthopteroctetidae				
Gelechiidae	1	09	03	00	1090300	INLEGEL	Insecta	Lepidoptera	Gelechiidae		Twirler moths		Yes
Psychidae	1	09	04	00	1090400	INLEPSY	Insecta	Lepidoptera	Psychidae		Bagworm moths		Yes
Hymenoptera	1	11	00	00	1110000	INHY	Insecta	Hymenoptera			Bees, ants, wasps, sawflies		Yes
Apoidea	1	11	10	00	1111000	INHYAPO	Insecta	Hymenoptera	Apoidea (superfamily)		Bees and Sphecoid wasps		Yes
Apidae	1	11	11	00	1111100	INHYAPI	Insecta	Hymenoptera	Apidae		Honeybees, Bumblebees, etc		Yes
Bombus sp.	1	11	11	01	1111101	INHYBOM	Insecta	Hymenoptera	Apidae	Bombus	Bumblebee (genus)		Yes
Apis mellifera	1	11	11	02	1111102	APAPMEL	Insecta	Hymenoptera	Apidae	Apis mellifera	Western honeybee		Yes
Scelionidae	1	11	12	00	1111200	INHYSCE	Insecta	Hymenoptera	Scelionidae 				
Formicidae	1	11	13	00	1111300	INHYFOR	Insecta	Hymenoptera	Formicidae		Ants		Yes
Aphaenogaster sp.	1	11	13	01	1111301	FOAPH	Insecta	Hymenoptera	Formicidae	Aphaenogaster sp.	Ant (genus)		Yes
Dorymyrmex sp.	1	11	13	02	1111302	FODOR	Insecta	Hymenoptera	Formicidae	Dorymyrmex sp.	Cone ants (genus)		Yes
Hypoponera sp.	1	11	13	03	1111303	HYFORHYP	Insecta	Hymenoptera	Formicidae	Hypoponera sp.			Yes
Tapinoma sp.	1	11	13	04	1111304	FOTAP	Insecta	Hymenoptera	Formicidae	Tapinoma		Only use this if you are sure it is not Tapinoma sessile; this is the only known Tapinoma in NM	Yes
Solenopsis sp.	1	11	13	05	1111305	FOSOL	Insecta	Hymenoptera	Formicidae	Solenopsis sp.	Fire ants (genus)		Yes
Leptothorax sp.	1	11	13	06	1111306	FOLEP	Insecta	Hymenoptera	Formicidae	Leptothorax sp.			Yes
Formica sp.	1	11	13	09	1111309	FOFOM	Insecta	Hymenoptera	Formicidae	Formica sp.	Wood, Mound, and Field ants		Yes
Lasius sp.	1	11	13	10	1111310	FOLAS	Insecta	Hymenoptera	Formicidae	Lasius	Citronella ants (genus)		Yes
Neivamyrmex sp.	1	11	13	11	1111311	FONEI	Insecta	Hymenoptera	Formicidae	Neivamyrmex sp.	Legionary ants (genus)		Yes
Myrmicinae	1	11	13	13	1111313	FOMYR	Insecta	Hymenoptera	Formicidae	Myrmicinae (subfamily)			Yes
Pheidole sp.	1	11	13	14	1111314	FOPHE	Insecta	Hymenoptera	Formicidae	Pheidole sp.	Big-headed ants (genus)		Yes
