site,ppt_canopy,ppt_open,year,month,day,site_name,site_lat,site_long
1,18,26,2011,9,22,Alameda,35.1875,-106.6459
1,3.6,7.4,2007,6,19,Alameda,35.1875,-106.6459
1,7.3,8.5,2014,6,17,Alameda,35.1875,-106.6459
1,4.2,3.5,2002,3,19,Alameda,35.1875,-106.6459
1,10.5,22,2009,9,15,Alameda,35.1875,-106.6459
1,9,10.5,2008,3,17,Alameda,35.1875,-106.6459
1,15.2,12.7,2000,4,18,Alameda,35.1875,-106.6459
1,6,9.5,2012,2,22,Alameda,35.1875,-106.6459
1,61,74,2015,5,22,Alameda,35.1875,-106.6459
1,9.5,18,2012,8,20,Alameda,35.1875,-106.6459
1,9,10,2015,1,21,Alameda,35.1875,-106.6459
1,18,20,2007,10,17,Alameda,35.1875,-106.6459
1,0,0,2000,5,18,Alameda,35.1875,-106.6459
1,8.5,14,2008,5,21,Alameda,35.1875,-106.6459
1,11,12.5,2005,5,17,Alameda,35.1875,-106.6459
1,15,15,2017,2,24,Alameda,35.1875,-106.6459
1,NA,NA,2004,5,NA,Alameda,35.1875,-106.6459
1,12.7,12.7,2000,12,19,Alameda,35.1875,-106.6459
1,7.5,5,2005,7,19,Alameda,35.1875,-106.6459
1,33,40,2015,8,21,Alameda,35.1875,-106.6459
1,0,0,2014,1,24,Alameda,35.1875,-106.6459
1,6.5,6.7,2008,2,20,Alameda,35.1875,-106.6459
1,28,32,2006,10,19,Alameda,35.1875,-106.6459
1,18,28,2003,10,22,Alameda,35.1875,-106.6459
1,11,17,2015,10,20,Alameda,35.1875,-106.6459
1,37,32,2011,10,19,Alameda,35.1875,-106.6459
1,0.5,1.5,2009,5,19,Alameda,35.1875,-106.6459
1,NA,9,2002,1,15,Alameda,35.1875,-106.6459
1,0,0,2016,3,15,Alameda,35.1875,-106.6459
1,0,0,2008,4,16,Alameda,35.1875,-106.6459
1,19.3,27.9,2000,8,15,Alameda,35.1875,-106.6459
1,NA,8,2017,5,16,Alameda,35.1875,-106.6459
1,0,0,2009,2,18,Alameda,35.1875,-106.6459
1,43,30,2004,8,17,Alameda,35.1875,-106.6459
1,38,44,2010,8,17,Alameda,35.1875,-106.6459
1,5.2,7.9,2002,2,19,Alameda,35.1875,-106.6459
1,21.1,27.4,2000,9,19,Alameda,35.1875,-106.6459
1,30.5,16.3,2000,11,21,Alameda,35.1875,-106.6459
1,17,22,2003,11,19,Alameda,35.1875,-106.6459
1,11,9.5,2015,6,19,Alameda,35.1875,-106.6459
1,20,21.5,2005,8,16,Alameda,35.1875,-106.6459
1,3.4,6.2,2003,12,16,Alameda,35.1875,-106.6459
1,64,43,2010,12,20,Alameda,35.1875,-106.6459
1,1.7,3.7,2008,9,19,Alameda,35.1875,-106.6459
1,23,35,2008,8,20,Alameda,35.1875,-106.6459
1,5.5,5,2016,6,21,Alameda,35.1875,-106.6459
1,1.5,4.5,2009,1,20,Alameda,35.1875,-106.6459
1,2.2,2.4,2005,12,20,Alameda,35.1875,-106.6459
1,6,8,2014,2,19,Alameda,35.1875,-106.6459
1,2,4.5,2013,2,20,Alameda,35.1875,-106.6459
1,10.1,14,2007,7,17,Alameda,35.1875,-106.6459
1,0.9,1.2,2006,2,22,Alameda,35.1875,-106.6459
1,17.1,25,2004,9,21,Alameda,35.1875,-106.6459
1,3.5,5,2016,5,19,Alameda,35.1875,-106.6459
1,46,51,2015,11,17,Alameda,35.1875,-106.6459
1,68,51,2008,10,23,Alameda,35.1875,-106.6459
1,3,5,2004,7,20,Alameda,35.1875,-106.6459
1,2.2,4.7,2004,1,21,Alameda,35.1875,-106.6459
1,39,47,2002,9,17,Alameda,35.1875,-106.6459
1,16,17,2015,12,14,Alameda,35.1875,-106.6459
1,2.8,3.2,2002,5,22,Alameda,35.1875,-106.6459
1,21,23,2012,4,19,Alameda,35.1875,-106.6459
1,NA,10,2017,6,20,Alameda,35.1875,-106.6459
1,1.5,2,2016,7,19,Alameda,35.1875,-106.6459
1,0,0,2004,6,15,Alameda,35.1875,-106.6459
1,0,0,2014,4,15,Alameda,35.1875,-106.6459
1,0.6,0,2006,12,18,Alameda,35.1875,-106.6459
1,3.3,12,2001,9,18,Alameda,35.1875,-106.6459
1,0,0,2017,11,22,Alameda,35.1875,-106.6459
1,4,4.2,2006,3,21,Alameda,35.1875,-106.6459
1,11.5,21,2009,7,21,Alameda,35.1875,-106.6459
1,0,0,2006,1,18,Alameda,35.1875,-106.6459
1,0,0,2003,5,21,Alameda,35.1875,-106.6459
1,8.3,9.6,2004,11,17,Alameda,35.1875,-106.6459
1,14,16.5,2001,3,20,Alameda,35.1875,-106.6459
1,5.5,11.5,2012,9,18,Alameda,35.1875,-106.6459
1,1.8,0.5,2012,11,19,Alameda,35.1875,-106.6459
1,4,10,2002,7,16,Alameda,35.1875,-106.6459
1,2.4,4.4,2004,2,17,Alameda,35.1875,-106.6459
1,7.5,9,2009,12,15,Alameda,35.1875,-106.6459
1,35,37,2005,3,16,Alameda,35.1875,-106.6459
1,20,18,2007,5,14,Alameda,35.1875,-106.6459
1,12,16,2012,7,18,Alameda,35.1875,-106.6459
1,NA,0,2017,3,22,Alameda,35.1875,-106.6459
1,0,0.7,2002,6,19,Alameda,35.1875,-106.6459
1,26,43,2014,8,18,Alameda,35.1875,-106.6459
1,45,41,2007,4,19,Alameda,35.1875,-106.6459
1,3,4.5,2012,3,21,Alameda,35.1875,-106.6459
1,NA,NA,2002,8,NA,Alameda,35.1875,-106.6459
1,9,17,2001,7,18,Alameda,35.1875,-106.6459
1,2.5,3,2011,1,19,Alameda,35.1875,-106.6459
1,1.5,NA,2012,12,18,Alameda,35.1875,-106.6459
1,0,0,2007,3,21,Alameda,35.1875,-106.6459
1,15.5,NA,2014,12,15,Alameda,35.1875,-106.6459
1,11.5,16.5,2005,4,19,Alameda,35.1875,-106.6459
1,2,4.5,2015,9,16,Alameda,35.1875,-106.6459
1,7.5,8,2016,4,18,Alameda,35.1875,-106.6459
1,21.5,30,2013,7,16,Alameda,35.1875,-106.6459
1,1.8,NA,2005,6,21,Alameda,35.1875,-106.6459
1,3.8,5,2011,11,17,Alameda,35.1875,-106.6459
1,7.5,5,2012,5,16,Alameda,35.1875,-106.6459
1,12,12,2015,3,19,Alameda,35.1875,-106.6459
1,5,8,2003,2,18,Alameda,35.1875,-106.6459
1,1.3,1,2001,10,17,Alameda,35.1875,-106.6459
1,0.5,1.5,2013,5,24,Alameda,35.1875,-106.6459
1,1.5,2.5,2012,10,16,Alameda,35.1875,-106.6459
1,18.8,38,2017,8,15,Alameda,35.1875,-106.6459
1,NA,19,2010,2,16,Alameda,35.1875,-106.6459
1,8,9,2001,12,18,Alameda,35.1875,-106.6459
1,0,0.3,2013,4,17,Alameda,35.1875,-106.6459
1,8,NA,2016,1,22,Alameda,35.1875,-106.6459
1,6,12,2008,7,15,Alameda,35.1875,-106.6459
1,61,65,2015,7,24,Alameda,35.1875,-106.6459
1,1.5,0.8,2015,4,24,Alameda,35.1875,-106.6459
1,18,23,2009,8,17,Alameda,35.1875,-106.6459
2,2.1,4.2,2003,6,17,Rio Grande Nature Center,35.127,-106.6854
2,18,20,2007,5,15,Rio Grande Nature Center,35.127,-106.6854
2,17.3,19.8,2000,6,20,Rio Grande Nature Center,35.127,-106.6854
2,2.5,3,2010,3,15,Rio Grande Nature Center,35.127,-106.6854
2,40,44.5,2004,10,19,Rio Grande Nature Center,35.127,-106.6854
2,27.9,34.3,1999,7,20,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2011,5,17,Rio Grande Nature Center,35.127,-106.6854
2,6,7,2016,11,15,Rio Grande Nature Center,35.127,-106.6854
2,44,50,2005,10,18,Rio Grande Nature Center,35.127,-106.6854
2,15.5,16.3,1999,10,19,Rio Grande Nature Center,35.127,-106.6854
2,7.5,NA,2017,5,17,Rio Grande Nature Center,35.127,-106.6854
2,48.3,53.3,1997,10,21,Rio Grande Nature Center,35.127,-106.6854
2,39,45,2006,9,19,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,1998,2,NA,Rio Grande Nature Center,35.127,-106.6854
2,15.2,15.2,2000,8,15,Rio Grande Nature Center,35.127,-106.6854
2,1,1.5,1998,6,20,Rio Grande Nature Center,35.127,-106.6854
2,6.9,7.6,1998,12,15,Rio Grande Nature Center,35.127,-106.6854
2,6,20,2009,4,21,Rio Grande Nature Center,35.127,-106.6854
2,24,NA,2009,9,15,Rio Grande Nature Center,35.127,-106.6854
2,65.5,65,2004,4,20,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,2003,3,NA,Rio Grande Nature Center,35.127,-106.6854
2,0,NA,2011,6,20,Rio Grande Nature Center,35.127,-106.6854
2,0,1.1,2017,7,18,Rio Grande Nature Center,35.127,-106.6854
2,3.2,7.2,2007,6,19,Rio Grande Nature Center,35.127,-106.6854
2,4,3.6,2003,12,16,Rio Grande Nature Center,35.127,-106.6854
2,4,8,2002,10,15,Rio Grande Nature Center,35.127,-106.6854
2,33,38,2016,9,20,Rio Grande Nature Center,35.127,-106.6854
2,39.4,43.2,1998,3,17,Rio Grande Nature Center,35.127,-106.6854
2,7.1,5.1,1998,9,15,Rio Grande Nature Center,35.127,-106.6854
2,40,43,2010,12,21,Rio Grande Nature Center,35.127,-106.6854
2,7.6,NA,2017,4,18,Rio Grande Nature Center,35.127,-106.6854
2,8,9,2002,1,16,Rio Grande Nature Center,35.127,-106.6854
2,19,21,2004,7,20,Rio Grande Nature Center,35.127,-106.6854
2,13.7,NA,2000,3,21,Rio Grande Nature Center,35.127,-106.6854
2,3.5,5,2009,10,20,Rio Grande Nature Center,35.127,-106.6854
2,7,6,2010,11,16,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2006,4,18,Rio Grande Nature Center,35.127,-106.6854
2,17.3,17.8,1998,5,19,Rio Grande Nature Center,35.127,-106.6854
2,3.3,4,2010,5,18,Rio Grande Nature Center,35.127,-106.6854
2,0.5,1,2009,11,17,Rio Grande Nature Center,35.127,-106.6854
2,18,23,2007,2,20,Rio Grande Nature Center,35.127,-106.6854
2,3.4,7,2001,9,19,Rio Grande Nature Center,35.127,-106.6854
2,1.8,2.5,2008,1,14,Rio Grande Nature Center,35.127,-106.6854
2,2,5,2005,6,21,Rio Grande Nature Center,35.127,-106.6854
2,15,20,2003,11,18,Rio Grande Nature Center,35.127,-106.6854
2,8.6,14,2001,7,17,Rio Grande Nature Center,35.127,-106.6854
2,70,72,2013,9,17,Rio Grande Nature Center,35.127,-106.6854
2,2.1,3.6,2004,2,17,Rio Grande Nature Center,35.127,-106.6854
2,21,33,2011,9,20,Rio Grande Nature Center,35.127,-106.6854
2,12,17,2014,10,21,Rio Grande Nature Center,35.127,-106.6854
2,3.8,3.6,1999,12,21,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,2005,5,17,Rio Grande Nature Center,35.127,-106.6854
2,0,1,2010,6,16,Rio Grande Nature Center,35.127,-106.6854
2,8.5,9,2007,9,17,Rio Grande Nature Center,35.127,-106.6854
2,35,35,2005,8,16,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2000,5,16,Rio Grande Nature Center,35.127,-106.6854
2,55,64,2008,10,21,Rio Grande Nature Center,35.127,-106.6854
2,10.7,12.7,1998,1,20,Rio Grande Nature Center,35.127,-106.6854
2,39,44,2013,8,20,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2014,5,20,Rio Grande Nature Center,35.127,-106.6854
2,5,7.8,2005,7,19,Rio Grande Nature Center,35.127,-106.6854
2,20,NA,2017,2,21,Rio Grande Nature Center,35.127,-106.6854
2,5.3,8,2014,3,17,Rio Grande Nature Center,35.127,-106.6854
2,11.2,11.5,2001,1,16,Rio Grande Nature Center,35.127,-106.6854
2,13,11.2,1999,3,16,Rio Grande Nature Center,35.127,-106.6854
2,1.1,3.3,2007,7,17,Rio Grande Nature Center,35.127,-106.6854
2,29.2,31,2006,10,17,Rio Grande Nature Center,35.127,-106.6854
2,5,6.5,2011,11,15,Rio Grande Nature Center,35.127,-106.6854
2,8,10,2006,12,21,Rio Grande Nature Center,35.127,-106.6854
2,38,43,2016,8,19,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,2000,7,NA,Rio Grande Nature Center,35.127,-106.6854
2,22.5,NA,2004,12,21,Rio Grande Nature Center,35.127,-106.6854
2,38,NA,2017,1,17,Rio Grande Nature Center,35.127,-106.6854
2,18.5,34.8,2001,8,22,Rio Grande Nature Center,35.127,-106.6854
2,1.3,2.5,2013,1,15,Rio Grande Nature Center,35.127,-106.6854
2,19,22,2012,4,17,Rio Grande Nature Center,35.127,-106.6854
2,15.2,14.7,1999,5,18,Rio Grande Nature Center,35.127,-106.6854
2,1,1,2011,2,15,Rio Grande Nature Center,35.127,-106.6854
2,14.9,17.5,2007,10,16,Rio Grande Nature Center,35.127,-106.6854
2,19,18,2015,2,20,Rio Grande Nature Center,35.127,-106.6854
2,15,8,2013,7,18,Rio Grande Nature Center,35.127,-106.6854
2,38.1,53.3,1997,9,16,Rio Grande Nature Center,35.127,-106.6854
2,2.8,2,2016,2,16,Rio Grande Nature Center,35.127,-106.6854
2,2.4,4,2006,5,16,Rio Grande Nature Center,35.127,-106.6854
2,9.9,10.4,2000,9,20,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2004,6,15,Rio Grande Nature Center,35.127,-106.6854
2,27.5,35,2002,9,17,Rio Grande Nature Center,35.127,-106.6854
2,7.5,8,2008,3,18,Rio Grande Nature Center,35.127,-106.6854
2,3,0,2009,1,20,Rio Grande Nature Center,35.127,-106.6854
2,4.3,7.5,2013,11,19,Rio Grande Nature Center,35.127,-106.6854
2,4.5,6.8,2014,2,18,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2008,11,19,Rio Grande Nature Center,35.127,-106.6854
2,2,4,2005,11,15,Rio Grande Nature Center,35.127,-106.6854
2,4.6,4.8,1999,6,15,Rio Grande Nature Center,35.127,-106.6854
2,40,48,2011,8,16,Rio Grande Nature Center,35.127,-106.6854
2,4.2,6.4,2001,5,15,Rio Grande Nature Center,35.127,-106.6854
2,4.6,7.6,2001,11,21,Rio Grande Nature Center,35.127,-106.6854
2,15.5,23,2004,9,21,Rio Grande Nature Center,35.127,-106.6854
2,1,2,2009,5,19,Rio Grande Nature Center,35.127,-106.6854
2,0,NA,2016,3,15,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,2003,4,NA,Rio Grande Nature Center,35.127,-106.6854
2,0,0,1999,1,19,Rio Grande Nature Center,35.127,-106.6854
2,NA,1.3,2013,10,15,Rio Grande Nature Center,35.127,-106.6854
2,8,7,2001,12,18,Rio Grande Nature Center,35.127,-106.6854
2,1.5,0.5,2017,6,21,Rio Grande Nature Center,35.127,-106.6854
2,45,26.5,2005,3,16,Rio Grande Nature Center,35.127,-106.6854
2,34.3,41.9,2000,11,21,Rio Grande Nature Center,35.127,-106.6854
2,4,5,2008,2,19,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2014,4,15,Rio Grande Nature Center,35.127,-106.6854
2,31,35.5,2011,10,18,Rio Grande Nature Center,35.127,-106.6854
2,37,38,2015,11,17,Rio Grande Nature Center,35.127,-106.6854
2,12.7,15.2,1998,7,21,Rio Grande Nature Center,35.127,-106.6854
2,4.5,4.5,2012,3,22,Rio Grande Nature Center,35.127,-106.6854
2,12.5,13.5,2002,6,18,Rio Grande Nature Center,35.127,-106.6854
2,NA,25.4,1997,7,15,Rio Grande Nature Center,35.127,-106.6854
2,8,NA,2009,7,21,Rio Grande Nature Center,35.127,-106.6854
2,2.5,2.5,2013,3,19,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2013,6,19,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,1998,4,NA,Rio Grande Nature Center,35.127,-106.6854
2,9,9,2012,1,17,Rio Grande Nature Center,35.127,-106.6854
2,38.4,66,1997,8,17,Rio Grande Nature Center,35.127,-106.6854
2,13.2,14.7,2001,3,20,Rio Grande Nature Center,35.127,-106.6854
2,32.5,38,2006,7,18,Rio Grande Nature Center,35.127,-106.6854
2,5,5,2002,2,19,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2017,12,19,Rio Grande Nature Center,35.127,-106.6854
2,0,1,2012,11,20,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,2004,5,NA,Rio Grande Nature Center,35.127,-106.6854
2,30,15,2007,12,18,Rio Grande Nature Center,35.127,-106.6854
2,19,22,2010,10,19,Rio Grande Nature Center,35.127,-106.6854
2,31.8,20.8,1998,10,20,Rio Grande Nature Center,35.127,-106.6854
2,3.5,4.5,2013,2,19,Rio Grande Nature Center,35.127,-106.6854
2,16,18,2011,12,19,Rio Grande Nature Center,35.127,-106.6854
2,35.5,30.5,2002,11,20,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2006,2,21,Rio Grande Nature Center,35.127,-106.6854
2,5,NA,2016,5,16,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,2002,12,NA,Rio Grande Nature Center,35.127,-106.6854
2,10,12,2008,5,20,Rio Grande Nature Center,35.127,-106.6854
2,20,27,2003,10,21,Rio Grande Nature Center,35.127,-106.6854
2,78,97,2006,8,15,Rio Grande Nature Center,35.127,-106.6854
2,16.8,15.2,1997,12,16,Rio Grande Nature Center,35.127,-106.6854
2,10,11,2016,1,19,Rio Grande Nature Center,35.127,-106.6854
2,0,1,2006,6,20,Rio Grande Nature Center,35.127,-106.6854
2,34,37,2010,4,20,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2002,5,15,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,2003,1,NA,Rio Grande Nature Center,35.127,-106.6854
2,5.4,6,2002,4,17,Rio Grande Nature Center,35.127,-106.6854
2,20.5,25.5,2012,7,18,Rio Grande Nature Center,35.127,-106.6854
2,33,40,2014,8,18,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2017,11,21,Rio Grande Nature Center,35.127,-106.6854
2,9,8,2010,1,19,Rio Grande Nature Center,35.127,-106.6854
2,5,8,2014,9,16,Rio Grande Nature Center,35.127,-106.6854
2,2.3,3.5,2004,11,16,Rio Grande Nature Center,35.127,-106.6854
2,18,20,2015,10,20,Rio Grande Nature Center,35.127,-106.6854
2,NA,NA,1997,11,NA,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2011,4,19,Rio Grande Nature Center,35.127,-106.6854
2,1.3,2.6,2003,8,19,Rio Grande Nature Center,35.127,-106.6854
2,32,39,2010,8,18,Rio Grande Nature Center,35.127,-106.6854
2,1,2,2012,12,18,Rio Grande Nature Center,35.127,-106.6854
2,2.5,3.5,2013,4,16,Rio Grande Nature Center,35.127,-106.6854
2,32,NA,2002,7,16,Rio Grande Nature Center,35.127,-106.6854
2,24.9,29.2,1998,8,20,Rio Grande Nature Center,35.127,-106.6854
2,2,3,2011,1,18,Rio Grande Nature Center,35.127,-106.6854
2,3.5,6,2008,6,17,Rio Grande Nature Center,35.127,-106.6854
2,14,20,2005,9,20,Rio Grande Nature Center,35.127,-106.6854
2,6,5,2009,12,15,Rio Grande Nature Center,35.127,-106.6854
2,20.5,30,2017,8,16,Rio Grande Nature Center,35.127,-106.6854
2,NA,27.9,2000,4,18,Rio Grande Nature Center,35.127,-106.6854
2,9.7,0,2000,2,15,Rio Grande Nature Center,35.127,-106.6854
2,33,40.9,2000,10,16,Rio Grande Nature Center,35.127,-106.6854
2,0,0,2006,11,23,Rio Grande Nature Center,35.127,-106.6854
