Year,Site number,Species,cover_total
2000,7,PSSC8,9.81
2000,7,SATR12,0.03
2000,7,SEFL3,0.29
2000,7,SPAN3,0.3
2000,7,SPCO4,16.41
2000,7,SPCR,0.75
2000,7,SPFL2,1.08
2000,7,SPGI,2.01
2000,7,SPORO,1.47
2000,7,TACH2,21.84
2001,1,AMFR,1.42
2001,1,COCA5,2.84
2001,1,ELAN,5.07
2001,1,FOPUP,164.04
2001,1,LASE,0.12
2001,1,MACA2,0.29
2001,1,MEOL,0.03
2001,1,PAVI5,8.18
2001,1,PODEW,192.46
2001,1,RHTR,0.1
2001,1,SAEX,0.92
2001,1,SATR12,0.02
2001,1,SPAI,0.26
2001,1,TACH2,1.29
2001,1,ULPU,28.78
2001,2,AMFR,3.18
2001,2,ARPU9,1.13
2001,2,ATCA2,0.1
2001,2,COCA5,0.33
2001,2,ELAN,16.65
2001,2,ELEL5,40.32
2001,2,GRASS,0.24
2001,2,GUSA2,14.47
2001,2,JUMO,2.54
2001,2,MACHA,0.13
2001,2,MEOF,12.21
2001,2,PODEW,209.16
2001,2,SATR12,0.61
2001,2,SEFL3,2.26
2001,2,SPCO4,0.64
2001,2,SPCR,14.62
2001,2,SPORO,0.09
2001,2,TACH2,2.07
2001,3,AMFR,8.29
2001,3,AMPS,1.56
2001,3,ANCA10,152.04
2001,3,APCA,2.99
2001,3,BASA,0.5
2001,3,CAREX,40.42
2001,3,ELAN,12.53
2001,3,ELCA4,0.2
2001,3,ELEL5,1.2
2001,3,EUOC4,4.28
2001,3,FOPUP,21.04
2001,3,FORB,0.08
2001,3,GRASS,0.19
2001,3,HOJU,0.49
2001,3,LONIC,1.82
2001,3,MOAL,29.83
2001,3,MUAS,30.37
2001,3,PAVI5,32.97
2001,3,PODEW,162.77
2001,3,RIAU,6.2
2001,3,SAEX,96.47
2001,3,SAGO,12.8
2001,3,SPHAE,0.02
2001,3,ULPU,19.7
2001,4,AMPS,8.74
2001,4,APCA,0.95
2001,4,ASCLE,0.54
2001,4,ASLAH2,7.26
2001,4,CAREX,118.67
2001,4,CIVU,0.59
2001,4,COCA5,0.15
2001,4,ELAN,83.7
2001,4,ELCA4,2.11
2001,4,EQLA,1.43
2001,4,EUOC4,19.24
2001,4,FORB,0.11
2001,4,GRASS,1.53
2001,4,HEAN3,0.17
2001,4,HOJU,0.5
2001,4,MEOF,0.09
2001,4,MEOL,0.34
2001,4,MINT,1.13
2001,4,MUAS,106.55
2001,4,OEELH2,0.16
2001,4,PAOB,76.68
2001,4,PODEW,92.27
2001,4,SAEX,102.38
2001,4,SAGO,0.68
2001,4,SOAR2,0.08
2001,4,SPAI,1.22
2001,4,SYFAC,3.88
2001,4,UNK,0.14
2001,5,ANCA10,0.16
2001,5,ELAN,1.69
2001,5,ELEL5,0.22
2001,5,FORB,0.04
2001,5,GRASS,0.3
2001,5,JUMO,0.02
2001,5,MACA2,0.06
2001,5,MUAS,1.11
2001,5,PODEW,274.52
2001,5,SATR12,0.46
2001,5,TACH2,0.48
2001,6,AIAL,2.22
2001,6,ARFI2,0.03
2001,6,ASCLE,0.09
2001,6,BASC5,15.95
2001,6,BRINI,13.34
2001,6,COAR4,2.78
2001,6,ELAN,27.77
2001,6,GLLE3,0.76
2001,6,HEAN3,2.34
2001,6,HECI,1.66
2001,6,MACA2,9.89
2001,6,MEOF,0.88
2001,6,MOAL,0.15
2001,6,PASM,0.7
2001,6,PODEW,54.14
2001,6,RIAU,2.47
2001,6,SAEX,0.24
2001,6,SATR12,56.52
2001,6,SELE6,3.1
2001,6,SOEL,2.1
2001,6,SPAI,4.07
2001,6,SPCO4,3.23
2001,6,SPCR,3.02
2001,6,SPFL2,0.86
2001,6,SPHAE,0.17
2001,6,SPORO,0.72
2001,6,TACH2,9.8
2001,7,ACHY,0.08
2001,7,ALIN,0.04
2001,7,ARPU9,0.17
2001,7,BOAR,2.64
2001,7,BOBA2,3.29
2001,7,DALA3,0.04
2001,7,DIWI2,0.61
2001,7,GRASS,0.34
2001,7,GUSA2,3.67
2001,7,IPLO,5.08
2001,7,MACA2,0.79
2001,7,MAPIP4,0.32
2001,7,NAHI,0.03
2001,7,OEPA,1.97
2001,7,OPPH,0.66
2001,7,PODEW,29.47
2001,7,POHA5,0.33
2001,7,PSSC6,13.92
2001,7,SEFL3,6.16
2001,7,SPCO4,7.4
2001,7,SPCR,1.81
2001,7,SPFL2,1.06
2001,7,SPGI,1.39
2001,7,SPORO,2.67
2001,7,TACH2,24.74
2001,7,UNK,0.07
2002,1,AMFR,1.04
2002,1,ELAN,5.68
2002,1,FOPUP,143.68
2002,1,MEOF,0.04
2002,1,PAVI5,5.95
2002,1,PODEW,214.54
2002,1,SAEX,1.14
2002,1,TACH2,0.05
2002,1,ULPU,29.07
2002,2,ACHY,0.09
2002,2,AMFR,5.11
2002,2,ARPU9,1.14
2002,2,CHAMA15,1.17
2002,2,ELAN,12.59
2002,2,ELEL5,26.71
2002,2,FORB,0.04
2002,2,GRASS,2.86
2002,2,GUSA2,10.66
2002,2,JUMO,2.75
2002,2,MACHA,0.15
2002,2,MEOF,7.07
2002,2,MOSQ,0.06
2002,2,PAOB,0.07
2002,2,PODEW,194.68
2002,2,SATR12,0.1
2002,2,SEFL3,1.9
2002,2,SPCO4,0.05
2002,2,SPCR,0.48
2002,2,SPORO,2.06
2002,2,TACH2,1.58
2002,3,AMFR,7.17
2002,3,AMPS,0.11
2002,3,ANCA10,141.25
2002,3,APCA,2.13
2002,3,BASA,1.24
2002,3,CAREX,51.49
2002,3,ELAN,14.42
2002,3,EUOC4,1.11
2002,3,FOPUP,1.14
2002,3,HOJU,0.5
2002,3,LONIC,0.58
2002,3,MOAL,12.77
2002,3,MUAS,23.09
2002,3,PAVI5,25.55
2002,3,PODEW,148.68
2002,3,RIAU,5.92
2002,3,SAEX,96.48
2002,3,SAGO,11.32
2002,3,ULPU,25.99
2002,4,AMPS,1.88
2002,4,ANCA10,0.09
2002,4,APCA,2.99
2002,4,ARAN7,1.85
2002,4,ASSU2,1.07
2002,4,BASA,0.41
2002,4,CAREX,82.26
2002,4,CIVU,0.04
2002,4,ELAN,94.15
2002,4,ELCA4,0.64
2002,4,EQLA,10.06
2002,4,EUOC4,6.94
2002,4,FORB,0.16
2002,4,JUBA,0.02
2002,4,LATAP,0.32
2002,4,MUAS,77.65
2002,4,PAOB,65.06
2002,4,PODEW,103.54
2002,4,SAEX,81.26
2002,4,SPAI,1.05
2002,4,SYER,0.08
2002,4,SYMPH4,0.06
2002,4,SYPR5,0.28
2002,4,TECAO,0.05
2002,5,ANCA10,0.02
2002,5,BASC5,0.01
2002,5,CIVU,0.04
2002,5,ELEL5,0.01
2002,5,FOPUP,0.22
2002,5,FORB,0.01
2002,5,MEOF,0.33
2002,5,MUAS,1.1
2002,5,PODEW,267.23
2002,5,SPAI,0.06
2002,5,ULPU,0.01
2002,6,AIAL,2
2002,6,BASC5,1.03
2002,6,BRINI,7.77
2002,6,CHAMA15,0.01
2002,6,COAR4,1.72
2002,6,ELAN,16.27
2002,6,FORB,0.03
2002,6,GLLE3,2.69
2002,6,GRASS,0.42
2002,6,HECI,8.1
2002,6,HELIA3,0.11
2002,6,MOAL,0.01
2002,6,PODEW,54.92
2002,6,RIAU,0.61
2002,6,SAEX,0.25
2002,6,SATR12,16.21
2002,6,SELE6,5.77
2002,6,SEVI4,0.27
2002,6,SOEL,2.05
2002,6,SPAI,6.91
2002,6,SPCO4,2.71
2002,6,SPHAE,0.32
2002,6,SPORO,1.39
2002,6,TACH2,9.36
2002,6,THIN6,0.23
2002,7,ALIN,0.09
2002,7,ARAD/BOBA2,12.36
2002,7,ARPU9,0.13
2002,7,BOAR,6.86999999999999
2002,7,BOBA2,21.1
2002,7,CHAMA15,0.87
2002,7,DALA3,0.24
2002,7,DIWI2,0.49
2002,7,GUSA2,1.56
2002,7,MAPIP4,0.25
2002,7,MOVE,0.01
2002,7,OEPA,0.63
2002,7,OPPH,0.25
2002,7,PODEW,29.31
2002,7,PORTU,3.86
2002,7,PSSC6,11.9
2002,7,SATR12,0.56
2002,7,SEFL3,1.75
2002,7,SPCO4,11.6
2002,7,SPCR,0.93
2002,7,SPFL2,2.73
2002,7,SPGI,1.95
2002,7,SPHAE,0.2
2002,7,SPORO,3.9
2002,7,TACH2,22.23
2002,8,AIAL,2.44
2002,8,BRCA6,0.14
2002,8,CYDA,3.72
2002,8,ELAN,6.84
2002,8,ELCA4,0.36
2002,8,HOJU,2.28
2002,8,MOAL,12.48
2002,8,MUAS,0.01
2002,8,PASM,0.17
2002,8,PODEW,163.27
2002,8,SAGO,17.03
2002,8,SATR12,1.39
2002,8,ULPU,5.13
2002,9,AGROS2,0.35
2002,9,ALTR7,0.1
2002,9,AMPS,25.63
2002,9,APCA,16.74
2002,9,ARAN7,0.06
2002,9,ASOF,0.45
2002,9,BASC5,59.97
2002,9,CACA4,0.51
2002,9,CADR,0.72
2002,9,CAREX,2.85
2002,9,CHAL7,27.21
2002,9,CHENO,3.74
2002,9,CIVU,0.02
2002,9,CLCO2,63.89
2002,9,COAR4,3.38
2002,9,CYPER,0.04
2002,9,DISP,0.54
2002,9,ECCR,0.25
2002,9,ELAN,5.02
2002,9,ELCA4,0.62
2002,9,ELPS,0.86
2002,9,ELTR7,1.09
2002,9,EUPHO,0.02
2002,9,FOPUP,12.97
2002,9,FORB,0.09
2002,9,GLLE3,0.25
2002,9,GRASS,0.26
2002,9,HEAN3,5.74
2002,9,HELIA3,0.97
2002,9,HOJU,0.07
2002,9,JUBA,3.61
2002,9,JUTO,2.42
2002,9,LATAP,1.16
2002,9,LEOR,0.45
2002,9,MEOF,2.9
2002,9,MEOL,0.27
2002,9,MESA,0.4
2002,9,MUAS,47.05
2002,9,PAOB,1.32
2002,9,PASM,0.61
2002,9,PAVI5,1.8
2002,9,POCO,3.03
2002,9,PODEW,85.4
2002,9,RHTR,0.56
2002,9,RONE,4.89
2002,9,ROWO,21.64
2002,9,SAEX,2.03
2002,9,SALIX,0.12
2002,9,SOLID,1.72
2002,9,SPAI,3.42
2002,9,SPHAE,0.36
2002,9,SPORO,3.38
2002,9,SYER,2.22
2002,9,SYPR5,11.94
2002,9,TYLA,1.55
2002,9,TYPHA,0.19
2002,9,ULPU,1.96
2002,9,WC,1
2003,1,AMFR,1.05
2003,1,COCA5,0.55
2003,1,ELAN,5.7
2003,1,FOPUP,154.31
2003,1,LASE,0.04
2003,1,MACA2,0.18
2003,1,PAVI5,6.21
2003,1,PODEW,197.49
2003,1,RHTR,0.48
2003,1,SAEX,2.24
2003,1,TACH2,0.72
2003,1,ULPU,31.39
2003,2,ACHY,1.79
2003,2,AMFR,2.65
2003,2,ARPU9,0.39
2003,2,CHAMA15,0.05
2003,2,COCA5,0.52
2003,2,CROTON,0.21
2003,2,ELAN,11.86
2003,2,ELEL5,19.18
2003,2,GRASS,0.74
2003,2,GUSA2,11.04
2003,2,JUMO,2.81
2003,2,MEOF,7.02
2003,2,PODEW,188.7
2003,2,SATR12,0.11
2003,2,SEFL3,1
2003,2,SPCR,1.2
2003,2,SPORO,0.86
2003,2,TACH2,1.16
2003,3,AMFR,6.22
2003,3,AMPS,0.25
2003,3,ANCA10,117.65
2003,3,APCA,1.16
2003,3,BASA,0.42
2003,3,CAREX,49.43
2003,3,ELAN,19.21
2003,3,ELEL5,1.43
2003,3,EUOC4,1.25
2003,3,FOPUP,2.9
2003,3,GRASS,0.02
2003,3,HOJU,0.22
2003,3,LONIC,0.12
2003,3,MOAL,14.23
2003,3,MUAS,22.04
2003,3,PAVI5,29.5
2003,3,PODEW,122.32
2003,3,RIAU,5.73
2003,3,SAEX,76.56
2003,3,SAGO,12.52
2003,3,ULPU,21.01
2003,4,AMPS,0.82
2003,4,APCA,1.94
2003,4,ARAN7,0.05
2003,4,ASSU2,0.98
2003,4,BRJA,0.91
2003,4,CAREX,56.75
2003,4,CIVU,0.35
2003,4,COCA5,0.86
2003,4,DISP,14.34
2003,4,ELAN,97.17
2003,4,ELCA4,1.24
2003,4,ELEL5,1.52
2003,4,EQLA,4.43
2003,4,EUOC4,5.95
2003,4,GAVI2,0.03
2003,4,JUBA,1.89
2003,4,LATAP,0.77
2003,4,MESA,0.03
2003,4,MUAS,42.61
2003,4,PAOB,55.28
2003,4,PODEW,119.48
2003,4,RUMEX,0.17
2003,4,SAEX,75.48
2003,4,SPAI,1.66
2003,4,SYER,0.09
2003,4,TECAO,0.53
2003,4,YELAC,0.36
2003,6,AIAL,1.5
2003,6,BASC5,1.1
2003,6,BRINI,0.25
2003,6,COAR4,0.03
2003,6,ELAN,30.62
2003,6,FORB,0.03
2003,6,GLLE3,1.91
2003,6,GRASS,0.34
2003,6,HEAN3,0.89
2003,6,HECI,8.51
2003,6,MACA2,6.92
2003,6,MEOF,0.05
2003,6,PODEW,35.07
2003,6,RIAU,3.68
2003,6,SATR12,21.71
2003,6,SELE6,0.84
2003,6,SOEL,0.18
2003,6,SPAI,3.82
2003,6,SPHAE,0.12
2003,6,SPORO,0.98
2003,6,TACH2,8.04
2003,7,DIWI2,0.37
2003,7,FOPUP,0.08
2003,7,GUSA2,1.59
2003,7,IPLO2,0.03
2003,7,MENTZ,0.12
2003,7,OPPH,0.05
2003,7,PODEW,25.05
2003,7,PSSC6,10.52
2003,7,SATR12,0.16
2003,7,SEFL3,0.3
2003,7,SPCR,0.11
2003,7,SPFL2,0.24
2003,7,SPGI,0.33
2003,7,SPORO,0.05
2003,7,TACH2,18.22
2003,8,AIAL,9.74
2003,8,BASA4,0.33
2003,8,BASC5,0.03
2003,8,BRINI,0.14
2003,8,DAGL,4.51
2003,8,ELAN,14.31
2003,8,ELCA4,0.2
2003,8,FRAXINUS,0.49
2003,8,HOJU,1.61
2003,8,MACA2,0.72
2003,8,MEOF,0.04
2003,8,MOAL,57.58
2003,8,PAVI5,0.55
2003,8,PODEW,170.89
2003,8,RIAU,1.22
2003,8,SAGO,17.51
2003,8,SATR12,9.51
2003,8,ULPU,8.46
2003,9,ALTR7,0.83
2003,9,AMPS,39.7
2003,9,APCA,17.06
2003,9,ARAN7,0.24
2003,9,BASA,2.04
2003,9,BASC5,130.42
2003,9,BRINI,0.17
2003,9,CACA4,4.19
2003,9,CADR,0.06
2003,9,CAREX,10.1
2003,9,CHAL7,29.07
2003,9,CLCO2,56.47
2003,9,COAR4,2.56
2003,9,COCA5,3.64
2003,9,DISP,5.27
2003,9,ECCR,0.02
2003,9,ELAN,4.55
2003,9,ELCA4,0.65
2003,9,ELPS,12.59
2003,9,EQLA,0.17
2003,9,FOPUP,19.33
2003,9,GRASS,6.81
2003,9,HEAN3,1.87
2003,9,HOJU,1.88
2003,9,JUBA,0.55
2003,9,JUTO,8.57
2003,9,LATAP,0.5
2003,9,LEOR,3.46
2003,9,MEOF,10.8
2003,9,MUAS,69.4
2003,9,OEELH2,0.12
2003,9,PAVI5,0.99
2003,9,PODEW,99.99
2003,9,RHTR,0.19
2003,9,ROPS,8.64
2003,9,ROWO,26.17
2003,9,RUCR,0.11
2003,9,SAEX,5.62
2003,9,SOCA6,1.32
2003,9,SPAI,0.25
2003,9,SPHAE,0.19
2003,9,SYER,8.44
2003,9,SYPR5,17.33
2003,9,TYLA,6.74
2003,9,ULPU,3.47
2003,9,WC,2.1
2003,10,AMFR,0.42
2003,10,AMPS,0.09
2003,10,APCA,0.03
2003,10,ARDR4,4.6
2003,10,ARPU9,0.49
2003,10,BASA4,2.93
2003,10,BREUC2,0.33
2003,10,CHAMA15,0.09
2003,10,COCA5,0.71
2003,10,DIWI2,0.23
2003,10,ELAN,20.58
2003,10,ELCA4,0.44
2003,10,ELYMU,0.13
2003,10,GAMO5,0.03
2003,10,GLLE3,0.48
2003,10,GRASS,0.02
2003,10,GUSA2,0.6
2003,10,MACA2,0.38
2003,10,MEOF,0.8
2003,10,MOAL,3.61
2003,10,MUAS,2.4
2003,10,OPPH,0.8
2003,10,PAVI5,7.89
2003,10,PHHI8,0.16
2003,10,PODEW,62.93
2003,10,RATA,0.29
2003,10,SAEX,33.62
2003,10,SEFL3,3.41
2003,10,SOCA6,1.05
2003,10,SPAI,6.11
2003,10,SPORO,0.02
2003,10,TACH2,18.04
2003,10,ULPU,12.67
2003,14,AMPS,0.17
2003,14,ANCA10,0.04
2003,14,BASA4,8.44
2003,14,CAREX,2.2
2003,14,DISP,72.55
2003,14,ELAN,85.65
2003,14,ELCA4,0.2
2003,14,ELTR7,7.56
2003,14,EUOC4,0.19
2003,14,HOJU,0.15
2003,14,JUBA,12.93
2003,14,MINT,0.19
2003,14,MUAS,4.89
2003,14,PAOB,0.06
2003,14,PHAU7,0.42
2003,14,PHCO,0.16
2003,14,PODEW,68.84
2003,14,PRPU,0.03
2003,14,SAEX,21.17
2003,14,SAGO,3.24
2003,14,SPSA3,2.62
2003,14,TACH2,49.62
2003,15,ANCA10,73.83
2003,15,DISP,5.11
2003,15,ELAN,38.19
2003,15,HOJU,0.16
2003,15,JUBA,0.14
2003,15,LYTO,7.72
2003,15,MUAS,11.79
2003,15,PODEW,41.2
2003,15,SAEX,3.78
2003,15,TACH2,3.21
2003,15,THPO7,6.8
2003,16,AMPS,0.04
2003,16,ANCA10,74.91
2003,16,CHSP11,0.22
2003,16,DISP,28.26
2003,16,ELAN,94.23
2003,16,GRASS,1.6
2003,16,HOJU,0.32
2003,16,LYTO,1.78
2003,16,MUAS,27.65
2003,16,PAOB,1.7
2003,16,PODEW,106.67
2003,16,SAEX,0.32
2003,16,SPAI,2.1
2003,16,TACH2,101.01
2004,1,AMFR,1.96
2004,1,BOBA2,0.03
2004,1,CHAMA15,0.09
2004,1,COCA5,0.06
2004,1,ELAN,6.42
2004,1,ERDI4,0.28
2004,1,FOPUP,153.54
2004,1,GUSA2,0.02
2004,1,HEAN3,0.01
2004,1,LACTU,0.02
2004,1,MACA2,2.35
2004,1,MEOF,0.18
2004,1,PAVI5,8.89
2004,1,PODEW,194.05
2004,1,RHTR,0.15
2004,1,SAEX,2.05
2004,1,SPAI,0.29
2004,1,SPAN3,0.41
2004,1,TACH2,0.45
2004,1,ULPU,8.17
2004,2,ACHY,1.91
2004,2,AMFR,1.91
2004,2,ARPU9,1.07
2004,2,ATCA2,0.05
2004,2,BOBA2,0.06
2004,2,CHAMA15,0.25
2004,2,ELEL5,46.08
2004,2,GUSA2,15.38
2004,2,MACA2,0.99
2004,2,MAPIP4,0.14
2004,2,MEOF,36.21
2004,2,PODEW,165.09
2004,2,SATR12,3.65
2004,2,SEFL3,1.37
2004,2,SPCO4,0.07
2004,2,SPCR,2.54
2004,2,SPORO,0.07
2004,3,AMFR,5.5
2004,3,AMPS,0.53
2004,3,ANCA10,154.47
2004,3,APCA,1.11
2004,3,BASA4,0.54
2004,3,CAREX,51.57
2004,3,ELAN,27.02
2004,3,ELCA4,0.16
2004,3,EUOC4,0.83
2004,3,FOPUP,2.35
2004,3,HOJU,5.18
2004,3,LASE,0.07
2004,3,MOAL,21.5
2004,3,MUAS,22.14
2004,3,PAOB,0.01
2004,3,PAVI5,33.89
2004,3,PODEW,139.99
2004,3,RIAU,7.29
2004,3,SAEX,84.59
2004,3,SAGO,7.81
2004,3,ULPU,19.86
2004,4,AMPS,3.56
2004,4,APCA,1.53
2004,4,ARAN7,0.23
2004,4,ASSU2,2.74
2004,4,CAREX,62.12
2004,4,CIVU,0.61
2004,4,COCA5,3.54
2004,4,DISP,8.55
2004,4,ELAN,99.22
2004,4,ELCA4,5.86
2004,4,EQLA,7.02999999999999
2004,4,EUOC4,4.78
2004,4,GAMO5,0.01
2004,4,HOJU,6.24
2004,4,LATAP,0.64
2004,4,MACA2,0.05
2004,4,MEOF,4.63
2004,4,MUAS,60.82
2004,4,PAOB,52.32
2004,4,PODEW,122.72
2004,4,PYPA4,0.24
2004,4,RUCR,0.13
2004,4,SAEX,72.52
2004,4,SOAR2,0.48
2004,4,SPAI,1.67
2004,4,SPCR,0.64
2004,4,SYER,0.6
2004,4,TECA3,0.16
2004,5,COCA5,0.04
2004,5,ELAN,0.38
2004,5,ELEL5,0.4
2004,5,FOPUP,0.15
2004,5,JUTO,0.03
2004,5,MUAS,1.05
2004,5,PODEW,270.15
2004,5,SATR12,0.04
2004,6,AIAL,2.98
2004,6,BASC5,8.32
2004,6,BRINI,1.8
2004,6,CHAL7,0.06
2004,6,COAR4,0.02
2004,6,COCA5,0.08
2004,6,CROTON,0.64
2004,6,ELAN,44.77
2004,6,ELEL5,1.05
2004,6,GLLE3,3.63
2004,6,GRASS,0.08
2004,6,HEAN3,9.18
2004,6,HECI,5.25
2004,6,MACA2,22.55
2004,6,MEOF,0.47
2004,6,PODEW,38.67
2004,6,RIAU,5.14
2004,6,SAEX,1
2004,6,SAGO,1.69
2004,6,SATR12,171.93
2004,6,SELE6,2.85
2004,6,SOEL,0.26
2004,6,SPAI,9.03
2004,6,SPAN3,0.76
2004,6,SPCR,0.36
2004,6,SPORO,0.36
2004,6,TACH2,17.73
2004,7,ALIN,0.4
2004,7,ARPU9,0.11
2004,7,BOAR,16.31
2004,7,BOBA2,82.7200000000001
2004,7,CHAMA15,2.62
2004,7,DALA3,0.01
2004,7,DIWI2,1.27
2004,7,FOPUP,0.97
2004,7,GRASS,0.17
2004,7,GUSA2,6.87
2004,7,IPLO2,4.75
2004,7,MACA2,2.44
2004,7,MAPIP4,0.26
2004,7,OEPA,1.14
2004,7,PODEW,21.03
2004,7,PORTU,8.23999999999997
2004,7,PSSC6,12.34
2004,7,SATR12,0.07
2004,7,SEFL3,1.37
2004,7,SPAI,0.64
2004,7,SPCO4,2.17
2004,7,SPCR,5.99
2004,7,SPFL2,3.14
2004,7,SPGI,1.96
2004,7,SPORO,1.56
2004,7,TACH2,21.67
2004,8,AIAL,1.9
2004,8,BASA4,1.13
2004,8,DESCU,0.05
2004,8,ELAN,0.69
2004,8,ELCA4,3.33
2004,8,HOJU,1.44
2004,8,MACA2,3.22
2004,8,MOAL,10.23
2004,8,PODEW,156.81
2004,8,SAGO,10.11
2004,8,SATR12,3.6
2004,8,ULPU,3.84
2004,9,ALTR7,0.3
2004,9,AMPS,37.61
2004,9,APCA,19.59
2004,9,ASOF,0.27
2004,9,BASA4,1.37
2004,9,BASC5,109.96
2004,9,CACA4,4.17
2004,9,CAREX,4.72
2004,9,CHAL7,17.56
2004,9,CIRSI,0.14
2004,9,CLCO2,47.3
2004,9,COAR4,2.91
2004,9,DISP,17.91
2004,9,ELAN,4.3
2004,9,ELCA4,0.86
2004,9,ELPS,3.72
2004,9,FOPUP,4.27
2004,9,FORB,0.1
2004,9,HEAN3,35.71
2004,9,HOJU,0.29
2004,9,JUBA,1.35
2004,9,JUTO,6.22
2004,9,LATAP,1.08
2004,9,LEOR,4.35
2004,9,MARSI,0.24
2004,9,MEOF,16.37
2004,9,MUAS,79.05
2004,9,PAVI5,0.96
2004,9,PODEW,29.55
2004,9,RHTR,0.46
2004,9,ROPS,3.2
2004,9,ROWO,15.62
2004,9,SAEX,16.21
2004,9,SCPA8,5.14
2004,9,SCPU10,0.39
2004,9,SOCA6,0.71
2004,9,SPAI,2.14
2004,9,SPCO4,0.05
2004,9,SPHAE,0.5
2004,9,SYER,8.34
2004,9,SYPR5,14.84
2004,9,TYLA,11.02
2004,10,APCA,0.07
2004,10,ARDR4,9.75
2004,10,ARPU9,1.08
2004,10,ASSU2,0.84
2004,10,BASA4,2.64
2004,10,CHAMA15,1.49
2004,10,COCA5,0.45
2004,10,ELAN,18.18
2004,10,ELEL5,0.3
2004,10,FOPUP,1.23
2004,10,FORB,1.01
2004,10,FRVE2,4.83
2004,10,GUSA2,0.98
2004,10,HEAN3,0.03
2004,10,MACA2,0.02
2004,10,MEOF,14.23
2004,10,MOAL,2.39
2004,10,MUAS,1.38
2004,10,OPPH,1.37
2004,10,PAVI5,15.1
2004,10,PODEW,68.21
