Year,Day,Month,Site,Species ,Species Code,Start,End ,sum,Notes,Entered by ,Checked by 
2022,30,9,HarIsle3,Russian olive,,3.8,10.65,6.85,,EF,RW
2022,30,9,HarIsle3,Russian olive,,19.1,19.15,0.0499999999999972,,EF,RW
2022,30,9,HarIsle3,Russian olive,,22.55,25.35,2.8,,EF,RW
2022,30,9,HarIsle3,Seep willow,,27.95,28,0.0500000000000007,,EF,RW
2022,30,9,HarIsle3,Coyote willow,,15,15.55,0.550000000000001,,EF,RW
2022,30,9,HarIsle3,Coyote willow,,16.2,18.9,2.7,,EF,RW
2022,30,9,HarIsle3,Coyote willow,,21.15,23.95,2.8,,EF,RW
2022,30,9,HarIsle3,Coyote willow,,28.98,29.15,0.169999999999998,,EF,RW
2022,30,9,HarIsle3,Coyote willow,,29.8,29.9,0.0999999999999979,,EF,RW
2022,14,10,LosIsle1,Cottonwood,,0,30,30,,EF,RW
2022,14,10,LosIsle1,Elm,,4.4,4.9,0.5,,EF,RW
2022,14,10,LosIsle1,Elm,,9.8,13.3,3.5,,EF,RW
2022,14,10,LosIsle1,Elm,,15.5,16.9,1.4,,EF,RW
2022,14,10,LosIsle1,Elm,,19.9,20.44,0.540000000000003,,EF,RW
2022,14,10,LosIsle1,Equisetum,,0.56,0.57,0.01,,EF,RW
2022,14,10,LosIsle1,Equisetum,,2.78,2.79,0.00999999999999979,,EF,RW
2022,14,10,LosIsle1,Equisetum,,4.22,4.25,0.0300000000000002,,EF,RW
2022,14,10,LosIsle1,Equisetum,,7.64,7.66,0.0200000000000005,,EF,RW
2022,14,10,LosIsle1,Equisetum,,7.75,7.76,0.00999999999999979,,EF,RW
2022,14,10,LosIsle1,Equisetum,,8.9,8.91,0.00999999999999979,,EF,RW
2022,14,10,LosIsle1,Equisetum,,9.26,9.27,0.00999999999999979,,EF,RW
2022,14,10,LosIsle1,Equisetum,,11.75,11.76,0.00999999999999979,,EF,RW
2022,14,10,LosIsle1,Grass,,0,0.01,0.01,,EF,RW
2022,14,10,LosIsle1,Grass,,0.2,0.23,0.03,,EF,RW
2022,14,10,LosIsle1,Grass,,0.29,0.33,0.04,,EF,RW
2022,14,10,LosIsle1,Grass,,0.4,0.44,0.04,,EF,RW
2022,14,10,LosIsle1,Grass,,0.8,0.81,0.01,,EF,RW
2022,14,10,LosIsle1,Grass,,1,1.2,0.2,,EF,RW
2022,14,10,LosIsle1,Grass,,1.11,1.14,0.03,,EF,RW
2022,14,10,LosIsle1,Grass,,1.2,1.23,0.03,,EF,RW
2022,14,10,LosIsle1,Grass,,1.54,1.6,0.0600000000000001,,EF,RW
2022,14,10,LosIsle1,Grass,,1.72,1.73,0.01,,EF,RW
2022,14,10,LosIsle1,Grass,,5.64,5.66,0.0200000000000005,,EF,RW
2022,14,10,LosIsle1,Grass,,5.68,5.71,0.0300000000000002,,EF,RW
2022,14,10,LosIsle1,Grass,,6.01,6.34,0.33,,EF,RW
2022,14,10,LosIsle1,Grass,,18.71,19.59,0.879999999999999,,EF,RW
2022,14,10,LosIsle1,Mulberry,,6.68,7.4,0.720000000000001,Maple-looking leaf,EF,RW
2022,14,10,LosIsle1,Coyote willow,,5.15,7.3,2.15,,EF,RW
2022,14,10,LosIsle1,Coyote willow,,7.7,8.9,1.2,,EF,RW
2022,14,10,LosIsle1,Coyote willow,,17.19,17.61,0.419999999999998,,EF,RW
2022,14,10,LosIsle1,Coyote willow,,18.4,23.65,5.25,,EF,RW
2022,14,10,LosIsle1,Coyote willow,,24.3,25.92,1.62,,EF,RW
2022,14,10,LosIsle1,Willow,,2.2,2.75,0.55,,EF,RW
2022,21,10,LosIsle3,Bamboo,,28.25,30,1.75,,RW,RW
2022,21,10,LosIsle3,Cottonwood,,29.95,30,0.0500000000000007,,RW,RW
2022,21,10,LosIsle3,Elm,,1.7,5.29,3.59,,EF,RW
2022,21,10,LosIsle3,Elm,,6.1,6.55,0.45,,EF,RW
2022,21,10,LosIsle3,Elm,,29.85,30,0.149999999999999,,RW,RW
2022,21,10,LosIsle3,Forb,,0.1,0.12,0.02,,EF,RW
2022,21,10,LosIsle3,Forb,,1.35,1.36,0.00999999999999979,,EF,RW
2022,21,10,LosIsle3,Forb,,1.49,1.59,0.0999999999999999,,EF,RW
2022,21,10,LosIsle3,Forb,,2.89,2.91,0.02,,EF,RW
2022,21,10,LosIsle3,Forb,,2.93,2.95,0.02,,EF,RW
2022,21,10,LosIsle3,Forb,,2.97,2.98,0.0100000000000002,,EF,RW
2022,21,10,LosIsle3,Forb,,3.51,3.52,0.0100000000000002,,EF,RW
2022,21,10,LosIsle3,Forb,,3.59,3.61,0.02,,EF,RW
2022,21,10,LosIsle3,Forb,,3.85,3.86,0.00999999999999979,,EF,RW
2022,21,10,LosIsle3,Forb,,3.95,3.96,0.00999999999999979,,EF,RW
2022,21,10,LosIsle3,Forb,,4.07,4.08,0.00999999999999979,,EF,RW
2022,21,10,LosIsle3,Forb,,4.23,4.39,0.159999999999999,,EF,RW
2022,21,10,LosIsle3,Forb,,5.57,5.58,0.00999999999999979,,EF,RW
2022,21,10,LosIsle3,Goldenrod,,0.3,0.36,0.06,,EF,RW
2022,21,10,LosIsle3,Goldenrod,,1.65,1.67,0.02,,EF,RW
2022,21,10,LosIsle3,Goldenrod,,1.77,1.98,0.21,,EF,RW
2022,21,10,LosIsle3,Goldenrod,,2.18,2.19,0.00999999999999979,,EF,RW
2022,21,10,LosIsle3,Goldenrod,,2.89,2.96,0.0699999999999998,,EF,RW
2022,21,10,LosIsle3,Grass,,0.21,0.35,0.14,,EF,RW
2022,21,10,LosIsle3,Grass,,0.48,0.5,0.02,,EF,RW
2022,21,10,LosIsle3,Grass,,1.03,1.6,0.57,,EF,RW
2022,21,10,LosIsle3,Grass,,1.64,1.68,0.04,,EF,RW
2022,21,10,LosIsle3,Grass,,1.8,2.8,1,,EF,RW
2022,21,10,LosIsle3,Grass,,2.88,3.53,0.65,,EF,RW
2022,21,10,LosIsle3,Grass,,5.29,5.3,0.00999999999999979,,EF,RW
2022,21,10,LosIsle3,Grass,,5.57,5.58,0.00999999999999979,,RW,RW
2022,21,10,LosIsle3,Grass,,6.36,6.45,0.0899999999999999,,EF,RW
2022,21,10,LosIsle3,Grass,,6.6,6.66,0.0600000000000005,,RW,RW
2022,21,10,LosIsle3,Grass,,7.24,7.25,0.00999999999999979,,RW,RW
2022,21,10,LosIsle3,Grass,,7.4,7.7,0.3,,EF,RW
2022,21,10,LosIsle3,Grass,,8.25,8.43,0.18,,EF,RW
2022,21,10,LosIsle3,Grass,,10.63,10.71,0.0800000000000001,,EF,RW
2022,21,10,LosIsle3,Ravenna,,6.31,6.32,0.0100000000000007,,EF,RW
2022,21,10,LosIsle3,Ravenna,,6.65,6.66,0.00999999999999979,,RW,RW
2022,21,10,LosIsle3,Coyote willow,,0.6,1.35,0.75,,EF,RW
2022,21,10,LosIsle3,Coyote willow,,1.65,1.66,0.0100000000000002,,EF,RW
2022,21,10,LosIsle3,Coyote willow,,2,2.78,0.78,,EF,RW
2022,21,10,LosIsle3,Coyote willow,,5.8,30,24.2,,EF,RW
2022,9,9,MinBar1,Clover,,2.71,2.76,0.0499999999999998,,EF,RW
2022,9,9,MinBar1,Clover,,5,5.02,0.0199999999999996,,EF,RW
2022,9,9,MinBar1,Clover,,5.41,5.63,0.22,,EF,RW
2022,9,9,MinBar1,Clover,,5.96,5.98,0.0200000000000005,,EF,RW
2022,9,9,MinBar1,Clover,,6.26,7,0.74,,EF,RW
2022,9,9,MinBar1,Clover,,7.74,7.79,0.0499999999999998,,EF,RW
2022,9,9,MinBar1,Clover,,8.67,8.72,0.0500000000000007,,EF,RW
2022,9,9,MinBar1,Clover,,9.02,9.03,0.00999999999999979,,EF,RW
2022,9,9,MinBar1,Clover,,9.17,9.19,0.0199999999999996,,EF,RW
2022,9,9,MinBar1,Clover,,9.55,10.6,1.05,,EF,RW
2022,9,9,MinBar1,Clover,,11.53,11.56,0.0300000000000011,,EF,RW
2022,9,9,MinBar1,Clover,,11.65,11.7,0.0499999999999989,,EF,RW
2022,9,9,MinBar1,Clover,,12.33,12.41,0.0800000000000001,,EF,RW
2022,9,9,MinBar1,Clover,,12.86,13.11,0.25,,EF,RW
2022,9,9,MinBar1,Clover,,13.95,14.03,0.0800000000000001,,EF,RW
2022,9,9,MinBar1,Clover,,14.91,14.98,0.0700000000000003,,EF,RW
2022,9,9,MinBar1,Clover,,16.91,16.93,0.0199999999999996,,EF,RW
2022,9,9,MinBar1,Clover ,,16.29,16.37,0.0800000000000019,,EF,RW
2022,9,9,MinBar1,Cottonwood,,5.69,5.83,0.14,baby ,EF,RW
2022,9,9,MinBar1,Cottonwood,,8.75,8.84,0.0899999999999999,,EF,RW
2022,9,9,MinBar1,Cottonwood,,12.49,12.83,0.34,,EF,RW
2022,9,9,MinBar1,Cottonwood,,13.45,13.5,0.0500000000000007,,EF,RW
2022,9,9,MinBar1,Cottonwood,,13.69,14.7,1.01,,EF,RW
2022,9,9,MinBar1,Cottonwood,,27.55,27.65,0.0999999999999979,,EF,RW
2022,9,9,MinBar1,Coyote willow,,2.21,4.2,1.99,,EF,RW
2022,9,9,MinBar1,Coyote willow,,5.6,6.83,1.23,,EF,RW
2022,9,9,MinBar1,Coyote willow,,7.2,7.8,0.6,,EF,RW
2022,9,9,MinBar1,Coyote willow,,10.6,10.66,0.0600000000000005,,EF,RW
2022,9,9,MinBar1,Coyote willow,,12.09,12.17,0.0800000000000001,,EF,RW
2022,9,9,MinBar1,Coyote willow,,13,13.25,0.25,,EF,RW
2022,9,9,MinBar1,Coyote willow,,14.7,30,15.3,,EF,RW
2022,9,9,MinBar1,Forb,,8.48,8.55,0.0700000000000003,,EF,RW
2022,9,9,MinBar1,Forb,,8.75,8.92,0.17,,EF,RW
2022,9,9,MinBar1,Forb,,13.63,13.65,0.0199999999999996,,EF,RW
2022,9,9,MinBar1,Forb ,,14.02,14.23,0.210000000000001,,EF,RW
2022,9,9,MinBar1,Goldenrod,,14.82,15.53,0.709999999999999,"Yellow flower thing is all forb below here and most before, appears to be goldenrod",EF,RW
2022,9,9,MinBar1,Goldenrod,,15.7,16.11,0.41,,EF,RW
2022,9,9,MinBar1,Goldenrod,,16.2,17.45,1.25,,EF,RW
2022,9,9,MinBar1,Goldenrod,,17.78,17.95,0.169999999999998,,EF,RW
2022,9,9,MinBar1,Goldenrod,,18.93,19.39,0.460000000000001,,EF,RW
2022,9,9,MinBar1,Goldenrod,,20.28,21.15,0.869999999999997,,EF,RW
2022,9,9,MinBar1,Goldenrod,,22.73,22.81,0.0799999999999983,,EF,RW
2022,9,9,MinBar1,Goldenrod,,23.4,25.4,2,,EF,RW
2022,9,9,MinBar1,Goldenrod,,25.95,26.7,0.75,,EF,RW
2022,9,9,MinBar1,Goldenrod,,26.86,28.9,2.04,,EF,RW
2022,9,9,MinBar1,Goldenrod,,27.1,27.5,0.399999999999999,,EF,RW
2022,9,9,MinBar1,Goldenrod,,27.79,30,2.21,,EF,RW
2022,9,9,MinBar1,Grass,,0.85,0.87,0.02,,EF,RW
2022,9,9,MinBar1,Grass,,1.13,2.29,1.16,,EF,RW
2022,9,9,MinBar1,Grass,,2.5,3.7,1.2,,EF,RW
2022,9,9,MinBar1,Grass,,3.93,4.67,0.74,,EF,RW
2022,9,9,MinBar1,Grass,,4.8,9.2,4.4,,EF,RW
2022,9,9,MinBar1,Grass,,10.1,12.98,2.88,,EF,RW
2022,9,9,MinBar1,Grass,,13.7,14.04,0.34,,EF,RW
2022,9,9,MinBar1,Grass,,14.3,14.9,0.6,,EF,RW
2022,9,9,MinBar1,Grass,,16.02,16.13,0.109999999999999,,EF,RW
2022,9,9,MinBar1,Grass,,16.29,16.6,0.310000000000002,,EF,RW
2022,9,9,MinBar1,Grass,,17.63,17.94,0.310000000000002,,EF,RW
2022,9,9,MinBar1,Grass,,18.28,18.29,0.00999999999999801,,EF,RW
2022,9,9,MinBar1,Grass,,19.4,19.57,0.170000000000002,,EF,RW
2022,9,9,MinBar1,Grass,,19.91,20.09,0.18,,EF,RW
2022,9,9,MinBar1,Grass,,21.15,21.25,0.100000000000001,,EF,RW
2022,9,9,MinBar1,Grass,,21.31,21.98,0.670000000000002,,EF,RW
2022,9,9,MinBar1,Grass,,22.3,23.89,1.59,,EF,RW
2022,9,9,MinBar1,Grass,,27.77,28.35,0.580000000000002,,EF,RW
2022,9,9,MinBar1,Grass,,28.4,29.1,0.700000000000003,,EF,RW
2022,9,9,MinBar1,Grass,,29.5,30,0.5,,EF,RW
2022,9,9,MinBar1,Ravenna,,0,2.3,2.3,,EF,RW
2022,9,9,MinBar1,Ravenna,,3.8,3.95,0.15,,EF,RW
2022,9,9,MinBar1,Ravenna,,4.34,6.32,1.98,,EF,RW
2022,9,9,MinBar1,Ravenna,,9.83,10,0.17,,EF,RW
2022,9,9,MinBar1,Russian olive,,26.2,26.95,0.75,,EF,RW
2022,9,9,MinBar1,Seep willow,,14.92,15.64,0.720000000000001,,EF,RW
2022,16,9,MinBar3,Cottonwood,,3.9,5.5,1.6,,RW,
2022,16,9,MinBar3,Cottonwood,,10.6,10.65,0.0500000000000007,,RW,
2022,16,9,MinBar3,Cottonwood,,14.98,15.58,0.6,,RW,
2022,16,9,MinBar3,Cottonwood,,24.25,24.33,0.0799999999999983,,RW,
2022,16,9,MinBar3,Cottonwood,,25.65,25.95,0.300000000000001,,RW,
2022,16,9,MinBar3,Cottonwood,,27.9,28.24,0.34,,RW,
2022,16,9,MinBar3,Goldenrod,,9.3,9.57,0.27,,RW,
2022,16,9,MinBar3,Goldenrod,,25.23,25.25,0.0199999999999996,,RW,
2022,16,9,MinBar3,Goldenrod,,25.56,25.57,0.0100000000000016,,RW,
2022,16,9,MinBar3,Goldenrod,,26.05,26.35,0.300000000000001,,RW,
2022,16,9,MinBar3,Goldenrod,,26.5,26.65,0.149999999999999,,RW,
2022,16,9,MinBar3,Goldenrod,,27.59,27.79,0.199999999999999,,RW,
2022,16,9,MinBar3,Goldenrod,,27.98,28.98,1,,RW,
2022,16,9,MinBar3,Goldenrod,,29.19,29.22,0.0299999999999976,,RW,
2022,16,9,MinBar3,Goldenrod,,29.91,29.95,0.0399999999999991,,RW,
2022,16,9,MinBar3,Gooding's willow,,6.5,6.68,0.18,Dirt still stuck on the aerial roots at the base from the last high water,RW,
2022,16,9,MinBar3,Grass,,1.35,1.4,0.0499999999999998,,RW,
2022,16,9,MinBar3,Grass,,1.79,1.8,0.01,,RW,
2022,16,9,MinBar3,Grass,,2.6,2.82,0.22,,RW,
2022,16,9,MinBar3,Grass,,3.43,3.57,0.14,,RW,
2022,16,9,MinBar3,Grass,,4.09,4.1,0.00999999999999979,,RW,
2022,16,9,MinBar3,Grass,,5.89,6.28,0.390000000000001,,RW,
2022,16,9,MinBar3,Grass,,6.68,6.71,0.0300000000000002,,RW,
2022,16,9,MinBar3,Grass,,7.16,7.16,0,,RW,
2022,16,9,MinBar3,Grass,,7.36,7.37,0.00999999999999979,,RW,
2022,16,9,MinBar3,Grass,,7.5,7.88,0.38,,RW,
2022,16,9,MinBar3,Grass,,8.01,8.03,0.0199999999999996,,RW,
2022,16,9,MinBar3,Grass,,8.25,8.37,0.119999999999999,,RW,
2022,16,9,MinBar3,Grass,,8.83,9.01,0.18,,RW,
2022,16,9,MinBar3,Grass,,9.72,9.86,0.139999999999999,,RW,
2022,16,9,MinBar3,Grass,,10.01,10.02,0.00999999999999979,,RW,
2022,16,9,MinBar3,Grass,,10.12,10.13,0.0100000000000016,,RW,
2022,16,9,MinBar3,Grass,,10.25,10.28,0.0299999999999994,,RW,
2022,16,9,MinBar3,Grass,,10.48,11.05,0.57,,RW,
2022,16,9,MinBar3,Grass,,11.59,11.94,0.35,,RW,
2022,16,9,MinBar3,Grass,,12.52,12.55,0.0300000000000011,,RW,
2022,16,9,MinBar3,Grass,,12.64,12.65,0.00999999999999979,,RW,
2022,16,9,MinBar3,Grass,,12.83,12.96,0.130000000000001,,RW,
2022,16,9,MinBar3,Grass,,13.29,13.31,0.0200000000000013,,RW,
2022,16,9,MinBar3,Grass,,13.5,13.56,0.06,,RW,
2022,16,9,MinBar3,Grass,,13.75,13.77,0.0199999999999996,,RW,
2022,16,9,MinBar3,Grass,,13.97,14.05,0.0800000000000001,,RW,
2022,16,9,MinBar3,Grass,,14.87,15.01,0.140000000000001,,RW,
2022,16,9,MinBar3,Grass,,15.39,15.51,0.119999999999999,,RW,
2022,16,9,MinBar3,Grass,,15.78,15.81,0.0300000000000011,,RW,
2022,16,9,MinBar3,Grass,,16.13,16.21,0.0800000000000019,,RW,
2022,16,9,MinBar3,Grass,,16.42,16.44,0.0199999999999996,,RW,
2022,16,9,MinBar3,Grass,,16.58,16.88,0.300000000000001,,RW,
2022,16,9,MinBar3,Grass,,16.97,16.99,0.0199999999999996,,RW,
2022,16,9,MinBar3,Grass,,17.59,17.6,0.0100000000000016,,RW,
2022,16,9,MinBar3,Grass,,17.83,17.86,0.0300000000000011,,RW,
2022,16,9,MinBar3,Coyote willow,,0,30,30,,RW,
